Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,acc,avg_loss,epoch,run,amount_of_data
0.38376743,-0.030860849,0.016342055,-0.026463008,-0.04663403,0.008746945,-0.028329484,-0.054924343,-0.025132557,-0.033775736,-0.043824248,-0.026222972,-0.07631058,0.057418674,-0.12263971,0.016067537,-0.10710875,2.6,0.23633698,0.0,0.0,0.0
0.3401208,-0.31624365,-0.19252041,-0.59448093,-0.21089156,-0.53224695,-0.23501313,-0.93883103,-0.255762,-0.73756266,-0.5025045,-0.58060586,-0.37295818,-0.3352262,-0.13955005,-0.11806061,-0.3331236,2.8,0.21622181,1.0,0.0,0.0
0.3356566,-0.52356136,-0.22539614,-0.9330596,-0.21277069,-0.83445734,-0.32552537,-1.4177145,-0.39209938,-0.9841537,-0.341947,-0.8446744,-0.685678,-0.5928088,-0.2368344,-0.4021901,-0.3627554,5.2,0.2142965,2.0,0.0,0.0
0.33318853,-0.6406569,-0.30393866,-1.305722,-0.20808057,-1.1676742,-0.30636898,-1.8506159,-0.37569404,-1.456659,-0.39846835,-1.2793146,-0.38022062,-0.6577546,-0.322368,-0.5697238,-0.3803534,5.8,0.21155159,3.0,0.0,0.0
0.333994,-0.8052516,-0.42028135,-1.4600116,-0.25667226,-1.2286898,-0.27804378,-2.075539,-0.40960443,-1.4842315,-0.41264993,-1.6360987,-0.54759413,-0.8035218,-0.6031225,-0.7991374,-0.49168482,5.2,0.20629056,4.0,0.0,0.0
0.32701215,-0.8534728,-0.55630815,-1.6353675,-0.28402787,-1.3499511,-0.21275117,-1.9859682,-0.30595905,-1.6563872,-0.5270703,-1.7275472,-0.5713983,-0.9225879,-0.2951484,-0.77394,-0.7446652,8.4,0.20320383,5.0,0.0,0.0
0.33847317,-1.0155096,-0.5095912,-2.141939,-0.34804326,-1.712575,-0.23194188,-2.4421697,-0.5036887,-1.8102561,-0.74614406,-2.2553132,-0.83078027,-1.1333208,-0.5265687,-1.0562044,-0.7425777,10.6,0.2007647,6.0,0.0,0.0
0.34744444,-1.1775554,-0.60851663,-3.0533752,-0.3127523,-2.1568494,-0.3543754,-3.3529255,-0.4378119,-2.519418,-0.79493344,-3.2440495,-0.74260294,-1.6101089,-0.64553195,-1.4534004,-1.1145861,12.0,0.19397125,7.0,0.0,0.0
0.32889545,-1.2082144,-0.5608831,-3.138573,-0.25319764,-2.1466608,-0.21546,-3.0748348,-0.55073774,-2.2604835,-0.8364865,-3.4113777,-0.6342381,-1.5190557,-0.78862137,-1.6705475,-0.9538324,11.4,0.19737956,8.0,0.0,0.0
0.32470885,-1.3585378,-0.71686155,-3.211624,-0.28361544,-2.273488,-0.20503566,-3.4109406,-0.45658123,-2.2499156,-0.6050716,-4.145545,-0.67590845,-2.047591,-1.0938812,-2.099015,-1.4497039,9.4,0.19826873,9.0,0.0,0.0
0.33281648,-1.4992394,-0.85399115,-3.9699647,-0.2836334,-2.6778462,-0.16192017,-4.147808,-0.49596015,-2.7875402,-0.99157536,-4.8148675,-0.893508,-2.2811263,-1.2113436,-2.1220703,-1.2476436,16.6,0.18456766,10.0,0.0,0.0
0.32688802,-1.5247253,-0.83348906,-4.361128,-0.25315812,-3.0352666,-0.19529517,-4.4722114,-0.7567116,-2.694225,-0.9874423,-5.255,-0.9681872,-2.679611,-1.0034608,-2.559696,-1.2925904,11.8,0.18626992,11.0,0.0,0.0
0.3296574,-1.7594618,-0.79441243,-4.4971876,-0.2800443,-3.2317653,-0.15478301,-5.0430737,-0.6983257,-3.215401,-1.2871829,-6.041603,-0.99731445,-2.750757,-1.7063261,-3.443726,-1.4415635,11.4,0.18660451,12.0,0.0,0.0
0.33783254,-1.8652846,-0.9489985,-4.61398,-0.3862484,-3.5044127,-0.09741542,-5.2307863,-0.75398725,-3.3002634,-1.0919032,-6.3388286,-0.9808228,-2.9138367,-1.6899897,-2.9850297,-1.6478789,17.8,0.17698465,13.0,0.0,0.0
0.3341379,-1.8588665,-1.123054,-5.9114456,-0.31307653,-4.2789793,-0.14375581,-6.152214,-0.88955617,-3.8470805,-1.5801201,-7.5587306,-1.3908643,-3.5851138,-1.9426656,-3.6333451,-1.9071941,18.0,0.17716399,14.0,0.0,0.0
0.3142971,-1.9082112,-1.0451901,-5.826518,-0.29136112,-4.1155224,-0.17209348,-6.016495,-1.1448638,-3.5332894,-1.8284016,-8.150365,-1.4069157,-3.6134562,-2.2033212,-4.3484273,-1.9382429,15.8,0.17836659,15.0,0.0,0.0
0.32923442,-2.0251837,-1.1390148,-7.0058413,-0.32728097,-4.9867225,-0.1097651,-6.938417,-1.0282936,-4.163378,-2.142149,-8.934011,-1.847019,-4.264578,-2.3735452,-4.123014,-2.105386,19.2,0.16534701,16.0,0.0,0.0
0.3395799,-2.2492383,-1.3909214,-7.3240814,-0.2651506,-5.154994,-0.1612431,-7.199303,-1.0098504,-4.1218805,-1.7854414,-10.222441,-1.5552375,-4.1683664,-3.3481586,-5.1951537,-2.7361574,23.4,0.16782777,17.0,0.0,0.0
0.32920444,-2.2218442,-1.412097,-8.007834,-0.32815328,-5.42562,-0.23686604,-8.057383,-0.9163866,-4.7716546,-2.2957244,-11.402744,-1.8382273,-5.2249584,-3.5951903,-5.7702184,-2.7941897,22.2,0.16258503,18.0,0.0,0.0
0.3254392,-2.2605171,-1.3703054,-7.9452453,-0.3775181,-5.637708,-0.096221365,-7.8371887,-1.0495191,-4.552838,-2.2179224,-10.572686,-1.7706095,-4.48615,-3.6489854,-5.5649123,-3.2607992,17.8,0.16956994,19.0,0.0,0.0
0.33218405,-2.29248,-1.7321543,-8.306492,-0.21129295,-6.0140142,-0.13169762,-8.41324,-1.1157562,-4.795328,-2.2795053,-11.233799,-2.0369842,-4.936818,-4.145448,-6.228256,-3.1407042,19.4,0.16831794,20.0,0.0,0.0
0.3255745,-2.3869908,-1.6710982,-8.487392,-0.43498415,-6.092017,-0.22591504,-8.392183,-1.0185447,-4.9534993,-2.6077886,-13.073853,-2.1478293,-5.9394875,-4.308843,-6.8777514,-3.8560011,23.4,0.15752016,21.0,0.0,0.0
0.32457507,-2.4343278,-2.1621273,-9.038868,-0.32521358,-6.520514,-0.08145517,-8.592286,-1.2830381,-5.099555,-3.0273392,-12.86237,-2.409004,-6.469621,-3.8041642,-7.119756,-3.331689,24.0,0.15910186,22.0,0.0,0.0
0.33072305,-2.5922787,-1.8080506,-9.3905,-0.35268745,-6.640243,-0.2576254,-9.266442,-1.0687963,-5.400898,-3.1459327,-14.211244,-2.3495388,-6.4472084,-5.469113,-8.258406,-4.061743,23.0,0.16110358,23.0,0.0,0.0
0.31657702,-2.4406939,-1.8909955,-9.566809,-0.3304576,-6.794352,-0.21642461,-9.16993,-1.207451,-5.3867836,-3.1978676,-15.390212,-2.8817732,-6.812941,-5.6994348,-8.646836,-4.229381,27.6,0.14849924,24.0,0.0,0.0
0.31899428,-2.6017954,-1.91352,-10.350844,-0.29899022,-7.323749,-0.32498527,-10.190418,-1.3537345,-5.927515,-3.6160324,-16.38595,-2.7532182,-7.732593,-6.278449,-9.098758,-4.8683467,29.4,0.15385202,25.0,0.0,0.0
0.32169858,-2.7097638,-2.0543566,-10.499001,-0.37976673,-7.6288433,-0.24450701,-10.3753395,-1.3801274,-6.003402,-3.7967541,-17.80205,-2.9931211,-8.572508,-6.59901,-10.672344,-4.7988405,27.4,0.15206245,26.0,0.0,0.0
0.32324168,-2.6534464,-2.2828588,-10.380778,-0.4956842,-7.4946046,-0.38149038,-11.1463785,-1.525462,-6.429628,-4.240644,-18.830803,-3.4974701,-8.702103,-7.179719,-11.057649,-5.409282,30.8,0.14519298,27.0,0.0,0.0
0.31522033,-2.6679378,-2.152209,-11.57826,-0.34397876,-8.218653,-0.24593246,-11.093602,-1.5678388,-6.3596406,-4.0258846,-18.350857,-3.4798121,-8.368198,-7.202262,-11.42556,-5.822159,29.4,0.148573,28.0,0.0,0.0
0.32348898,-2.7186847,-2.2917182,-11.56017,-0.5166261,-8.180093,-0.44536835,-10.7893,-1.7876469,-6.310432,-4.5274897,-19.806799,-3.3377032,-9.463824,-7.780075,-12.271947,-6.4928064,26.6,0.15432212,29.0,0.0,0.0
0.3206372,-2.8548806,-2.2404058,-12.088851,-0.39143765,-8.666925,-0.42651013,-11.535206,-1.5125992,-7.0467305,-4.595651,-19.845152,-4.2408195,-9.112135,-7.804632,-12.790281,-6.0444345,28.4,0.15601753,30.0,0.0,0.0
0.32563856,-2.9225717,-2.3056252,-12.87187,-0.49923292,-9.349016,-0.45639282,-12.585733,-1.7449087,-7.4472976,-5.1003194,-23.04042,-3.9510198,-10.380929,-9.527041,-14.733603,-7.554323,34.0,0.1453934,31.0,0.0,0.0
0.3186349,-2.9398425,-2.3109114,-12.47953,-0.5386905,-9.251881,-0.51204246,-12.631577,-2.0429025,-7.398373,-5.594285,-24.086063,-4.6453824,-11.837782,-9.074107,-15.77435,-8.199049,31.8,0.14454944,32.0,0.0,0.0
0.37833577,-0.024504108,0.0035475239,0.034221444,0.020087646,-0.011825395,0.047184817,0.02378661,0.06683366,0.031586006,-0.026175674,-0.107171945,-0.039547853,0.03774496,-0.14687479,-0.1287804,-0.05409477,2.6,0.23462132,0.0,1.0,0.0
0.3190874,-0.38184744,-0.24859238,-0.88868475,-0.2641975,-0.86618227,-0.61026,-1.1005963,-0.4033206,-0.75046355,-0.4126601,-0.6511584,-0.47991493,-0.39668745,-0.091297224,-0.31971464,-0.6819484,3.4,0.21926615,1.0,1.0,0.0
0.29925585,-0.43971702,-0.26915953,-0.93426985,-0.2496056,-0.93549633,-0.627162,-1.6228034,-0.30991986,-1.0428118,-0.30547324,-0.9332512,-0.39997473,-0.54331,-0.24702157,-0.36788917,-0.8962201,5.2,0.2144002,2.0,1.0,0.0
0.2963353,-0.631688,-0.24783108,-0.95567954,-0.29796496,-1.0571133,-0.576045,-1.6773614,-0.28311214,-0.9756522,-0.2800729,-0.9578147,-0.47180465,-0.5412077,-0.22182098,-0.5213961,-0.8834684,4.6,0.21269743,3.0,1.0,0.0
0.30054754,-0.6976676,-0.28426352,-1.4169093,-0.30913904,-1.3451293,-0.66534275,-2.2448437,-0.40518576,-1.3268727,-0.37449792,-1.3239951,-0.35371673,-0.6794479,-0.2178501,-0.7195318,-0.87758565,8.8,0.20545182,4.0,1.0,0.0
0.28768137,-0.7913747,-0.30731052,-1.5208341,-0.27493584,-1.3062093,-0.5143394,-2.5204647,-0.34899968,-1.5039473,-0.3397619,-1.7594168,-0.5788039,-0.84304196,-0.28680566,-1.1268235,-0.8786768,8.0,0.20238367,5.0,1.0,0.0
0.2942536,-0.87237006,-0.34000856,-1.6239483,-0.27151096,-1.3181797,-0.49314448,-2.676284,-0.30931628,-1.5681182,-0.2953202,-2.1753144,-0.48295158,-1.0874329,-0.3085183,-1.5528868,-1.2938564,8.8,0.20032689,6.0,1.0,0.0
0.29284993,-1.0109929,-0.31464002,-2.0141432,-0.2766449,-1.5018721,-0.566321,-3.148752,-0.28265458,-1.8609172,-0.3403874,-2.599275,-0.5064811,-1.2139276,-0.47377634,-1.9841576,-1.226306,10.8,0.1929106,7.0,1.0,0.0
0.2842916,-1.031992,-0.3929902,-2.3427956,-0.29885873,-1.810828,-0.67102003,-3.5533295,-0.36355257,-2.123252,-0.52305776,-3.473877,-0.67478484,-1.5418266,-0.6774704,-2.2778442,-1.5893164,8.8,0.19857047,8.0,1.0,0.0
0.2971833,-1.2239769,-0.45676035,-2.4764574,-0.26732042,-1.8334064,-0.61829746,-3.5575757,-0.4100682,-2.0016165,-0.5510883,-3.3827271,-0.6352076,-1.476889,-0.7762142,-2.4462805,-1.400188,13.8,0.19095448,9.0,1.0,0.0
0.299565,-1.4350805,-0.5309306,-2.452944,-0.2986044,-1.8522748,-0.7335137,-3.862596,-0.59928,-2.1205306,-0.6376263,-3.6867437,-0.92454624,-1.7256435,-0.66099346,-2.7830594,-1.5698972,15.4,0.18137206,10.0,1.0,0.0
0.3056795,-1.6170521,-0.6350968,-2.939496,-0.3348365,-2.0991197,-0.82876736,-4.208343,-0.6527452,-2.2932112,-0.7543198,-4.43268,-0.73290426,-2.0975964,-0.8847842,-3.5237045,-1.9537003,13.2,0.18967389,11.0,1.0,0.0
0.29380494,-1.6902201,-0.65555555,-3.0956707,-0.2162345,-2.3076334,-0.6379145,-4.739332,-0.46062064,-2.6091218,-0.7258479,-4.9678917,-0.8957463,-2.3904026,-1.0821884,-4.290261,-2.2776062,15.6,0.19046935,12.0,1.0,0.0
0.28861344,-1.7191887,-0.7014629,-3.1505659,-0.25863147,-2.2831588,-0.7574369,-5.2500916,-0.58255094,-2.7846603,-0.9819828,-6.325253,-0.8147123,-2.9501672,-1.5501927,-4.8066635,-2.7014875,16.0,0.17886624,13.0,1.0,0.0
0.28513038,-1.8509272,-0.7016172,-3.1545591,-0.26955372,-2.3517811,-0.6427715,-5.1237683,-0.531439,-2.7318554,-0.92453194,-5.883979,-0.96942014,-2.616965,-1.3814913,-5.1148443,-2.5433817,17.4,0.18108293,14.0,1.0,0.0
0.30249947,-1.9817499,-0.8475138,-3.6695986,-0.33120912,-2.742216,-0.82548934,-5.4559264,-0.6152455,-2.8936317,-1.2791533,-6.2387924,-1.3705777,-2.8254879,-1.4741178,-5.8054914,-2.5593631,16.8,0.17867942,15.0,1.0,0.0
0.27947506,-1.9897734,-0.87849164,-3.5225713,-0.21234724,-2.602952,-0.6099481,-5.324635,-0.57798207,-2.8295045,-1.0359358,-6.4644456,-1.0925863,-3.0738282,-1.4101043,-6.1838074,-3.0860066,16.0,0.17864199,16.0,1.0,0.0
0.29013526,-2.0527823,-0.9569273,-4.03546,-0.309287,-2.9990747,-0.8814021,-6.2262807,-0.6257122,-3.3513846,-1.3351678,-7.743717,-1.2779412,-3.8207662,-1.9702771,-7.0949645,-3.0903037,16.8,0.1726212,17.0,1.0,0.0
0.29351032,-2.2479005,-1.0368502,-4.2218494,-0.32402867,-3.1424026,-0.95291024,-6.5094423,-0.76825696,-3.5315886,-1.2837421,-8.373108,-1.2462481,-3.7329335,-2.355192,-7.332864,-3.9289584,24.0,0.15785532,18.0,1.0,0.0
0.2903474,-2.2571466,-1.0521867,-4.6000066,-0.24837856,-3.375529,-1.0840238,-7.1151075,-0.53840995,-3.9741483,-1.6981723,-10.136322,-1.324622,-5.15532,-2.3997393,-8.500104,-4.6376534,19.6,0.16854474,19.0,1.0,0.0
0.28788203,-2.4408991,-1.0928838,-4.634106,-0.18985485,-3.5437686,-0.9472439,-6.946925,-0.5142757,-3.924921,-1.5602725,-10.037225,-1.2847754,-4.737765,-2.5571063,-8.469044,-4.411632,23.8,0.16412055,20.0,1.0,0.0
0.28507635,-2.4307973,-1.2101415,-4.4531736,-0.25736046,-3.2639456,-0.89083,-7.3884997,-0.62569517,-3.9465642,-1.813904,-11.127519,-1.3632449,-5.3920565,-2.8488457,-9.386534,-4.763342,26.6,0.16267318,21.0,1.0,0.0
0.2863857,-2.3911536,-1.3150866,-5.157626,-0.26048476,-4.167568,-1.1428807,-8.0147505,-0.7816502,-4.577005,-1.9703847,-11.720251,-1.4146976,-5.944323,-3.0325298,-10.075724,-5.233661,23.0,0.15948255,22.0,1.0,0.0
0.2887836,-2.5350094,-1.3792517,-5.1263514,-0.3440563,-3.8023424,-1.0978806,-7.175408,-0.7004101,-4.0297036,-2.0538387,-11.202737,-1.2769212,-5.4758434,-3.4599612,-10.707897,-5.6046677,23.8,0.16130899,23.0,1.0,0.0
0.38678887,0.021508522,0.032538794,0.03589616,0.007943957,0.030321337,-0.0596645,-0.03045139,-0.027893187,-0.035646867,-0.009021877,-0.030718843,-0.020459399,-0.024079874,-0.069740266,0.0073576155,-0.041331347,3.2,0.22493425,0.0,2.0,0.0
0.3373025,-0.34824783,-0.23270111,-0.5356616,-0.15767764,-0.5016675,-0.30298993,-0.8724511,-0.19975553,-0.60800034,-0.15003462,-0.37785497,-0.16434757,-0.3014958,-0.07507176,-0.27802458,-0.24787958,3.4,0.21983263,1.0,2.0,0.0
0.36405897,-0.6405675,-0.3995195,-1.0970263,-0.18177037,-0.7920563,-0.38682756,-1.0569696,-0.27679887,-0.7040698,-0.14789906,-0.51075125,-0.21309534,-0.3317292,-0.10248236,-0.5360374,-0.25050032,4.0,0.21492043,2.0,2.0,0.0
0.33306056,-0.67323893,-0.46340844,-1.1921691,-0.22930074,-0.7982381,-0.25705558,-1.4184445,-0.2113308,-0.85727024,-0.16469297,-0.9055726,-0.30028784,-0.5603185,-0.14670363,-0.8525929,-0.40658566,5.2,0.21565202,3.0,2.0,0.0
0.325952,-0.83412594,-0.5252528,-1.3629012,-0.24446188,-0.9518801,-0.33057866,-1.4160221,-0.24517554,-0.8398482,-0.17415494,-0.86466724,-0.3140515,-0.56878054,-0.13344336,-0.98709047,-0.34371132,8.8,0.20288369,4.0,2.0,0.0
0.32872063,-0.9744074,-0.5947252,-1.6356049,-0.1971197,-1.1489943,-0.3572804,-1.850719,-0.22646773,-1.0698946,-0.20847474,-1.3268361,-0.3561637,-0.71544796,-0.23155716,-1.2992237,-0.44885975,10.2,0.20345655,5.0,2.0,0.0
0.31610838,-1.0335286,-0.59659857,-1.9922093,-0.23538686,-1.3603686,-0.4132035,-2.1831818,-0.22082548,-1.3231589,-0.22689994,-1.5314445,-0.34905827,-0.77312636,-0.32523286,-1.6425537,-0.50648075,9.8,0.19959274,6.0,2.0,0.0
0.3056953,-1.1225262,-0.7335677,-2.1237178,-0.21120538,-1.5096389,-0.28814593,-2.6669073,-0.15043232,-1.470564,-0.25944248,-2.004764,-0.3909291,-1.0354725,-0.40160874,-1.8902906,-0.5629384,11.0,0.19494992,7.0,2.0,0.0
0.3085079,-1.1598049,-0.82960147,-2.3448324,-0.24731512,-1.6868224,-0.41296718,-2.7498894,-0.25693005,-1.6701638,-0.3239882,-2.0309067,-0.5188055,-1.05823,-0.4043264,-2.156409,-0.7119971,13.0,0.1884466,8.0,2.0,0.0
0.30401412,-1.3643367,-0.7878778,-2.6662798,-0.20333666,-1.9570136,-0.28269666,-3.098339,-0.22035806,-1.8593448,-0.2747313,-2.7484605,-0.48706776,-1.3710358,-0.51435566,-2.4293618,-0.81527734,14.8,0.18965319,9.0,2.0,0.0
0.30875608,-1.4392762,-0.8087997,-3.2595284,-0.23249474,-2.2441833,-0.38914734,-3.453025,-0.2728731,-2.0388603,-0.31443724,-3.1640644,-0.46966788,-1.617028,-0.7043214,-2.8191607,-0.9431468,13.0,0.19343513,10.0,2.0,0.0
0.30758741,-1.5890669,-0.88337815,-3.3190138,-0.28017136,-2.2755597,-0.48889768,-3.867364,-0.3460122,-2.2324944,-0.40634817,-4.0374513,-0.5641016,-1.9638325,-0.8097314,-3.601563,-1.3984346,13.8,0.18772072,11.0,2.0,0.0
0.29736143,-1.5984823,-1.0138546,-3.3175032,-0.2679753,-2.3225567,-0.47796574,-3.6784215,-0.3912696,-2.2291822,-0.44803798,-3.9570742,-0.62216556,-1.7674639,-0.8886947,-4.036631,-1.3420689,20.2,0.17465469,12.0,2.0,0.0
0.3039485,-1.7366138,-0.9780085,-3.7193117,-0.33054373,-2.5770278,-0.5573089,-4.40878,-0.28785264,-2.6554275,-0.42452827,-4.948352,-0.79134995,-2.4745007,-0.9378865,-4.163871,-1.3419929,15.2,0.17800717,13.0,2.0,0.0
