Trajectory,Label,Classes,Noise,Acc_k4,Acc_k64,NonLinearity_k4,NonLinearity_k64
Baseline,CIFAR-10 (Baseline),10,0.0,0.7589,0.9098,0.1567498068014781,0.31541336327791214
Semantic Density,CIFAR-100 (10 Classes True Baseline),10,0.0,0.736,0.861,0.1902303695678711,0.30896905064582825
Semantic Density,CIFAR-100 (30 Classes),30,0.0,0.5826666666666667,0.767,0.15850622057914732,0.31887566670775414
Semantic Density,CIFAR-100 (50 Classes),50,0.0,0.5048,0.7286,0.12178298433621726,0.32927238568663597
Semantic Density,CIFAR-100 (70 Classes),70,0.0,0.4482857142857143,0.711,0.11991836428642277,0.3309902623295784
Semantic Density,CIFAR-100 (90 Classes),90,0.0,0.3934444444444444,0.6926666666666667,0.1285739608605703,0.3382417522370815
Unstructured Noise,CIFAR-10 (5% Noise),10,0.05,0.762,0.8739,0.16107309460639951,0.30620364382863045
Unstructured Noise,CIFAR-10 (10% Noise),10,0.1,0.731,0.846,0.1787787238756816,0.302888885140419
Unstructured Noise,CIFAR-10 (15% Noise),10,0.15,0.7444,0.8397,0.1798827628294627,0.3006114698946476
Unstructured Noise,CIFAR-10 (20% Noise),10,0.2,0.6995,0.8334,0.1866009096304576,0.3009154722094536
Unstructured Noise,CIFAR-10 (25% Noise),10,0.25,0.6799,0.8204,0.19153878092765808,0.3003213107585907
