Trajectory,Label,Classes,Noise,Acc_k4,Acc_k64,P_Score,M_Score
Baseline,CIFAR-10 (Baseline),10,0.0,0.7589,0.9098,0.10919925570487976,0.3035241931676864
Semantic Density,CIFAR-100 (30 Classes),30,0.0,0.5826666666666667,0.767,0.118782388312476,0.30575438439846037
Semantic Density,CIFAR-100 (50 Classes),50,0.0,0.5048,0.7286,0.051268356187002984,0.31644835770130153
Semantic Density,CIFAR-100 (70 Classes),70,0.0,0.4482857142857143,0.711,0.08844729832240517,0.3131111532449722
Semantic Density,CIFAR-100 (90 Classes),90,0.0,0.3934444444444444,0.6926666666666667,0.11848393934113643,0.31788895428180697
Unstructured Noise,CIFAR-10 (5% Noise),10,0.05,0.762,0.8739,0.122439192874091,0.33260425329208376
Unstructured Noise,CIFAR-10 (10% Noise),10,0.1,0.731,0.846,0.1272447322096143,0.30399983525276186
Unstructured Noise,CIFAR-10 (15% Noise),10,0.15,0.7444,0.8397,0.1347069953169141,0.30289744436740873
Unstructured Noise,CIFAR-10 (20% Noise),10,0.2,0.6995,0.8334,0.14056732824870521,0.3027373909950256
Unstructured Noise,CIFAR-10 (25% Noise),10,0.25,0.6799,0.8204,0.14292335084506447,0.3028545498847961
