Trajectory,Label,Classes,Noise,Acc_k4,Acc_k64,P_Cossim,M_Cossim,P_FA,M_FA
Baseline,CIFAR-10 (Baseline),10,0.0,0.7589,0.9098,0.1525752614526188,0.28184153139591217,0.6467958338120404,0.49551308155059814
Semantic Density,CIFAR-100 (30 Classes),30,0.0,0.5826666666666667,0.767,0.15181798093459187,0.30023591220378876,0.6577600871815401,0.49235910177230835
Semantic Density,CIFAR-100 (50 Classes),50,0.0,0.5048,0.7286,0.11487865097382488,0.32702121138572693,0.7075229252085966,0.48646336793899536
Semantic Density,CIFAR-100 (70 Classes),70,0.0,0.4482857142857143,0.711,0.12130627562018004,0.33234719932079315,0.68631612553316,0.4864692687988281
Semantic Density,CIFAR-100 (90 Classes),90,0.0,0.3934444444444444,0.6926666666666667,0.14359627751743087,0.3541594445705414,0.6528400533339557,0.4751737117767334
Unstructured Noise,CIFAR-10 (5% Noise),10,0.05,0.762,0.8739,0.1664486282012042,0.31767384707927704,0.6267475240370807,0.49476855993270874
Unstructured Noise,CIFAR-10 (10% Noise),10,0.1,0.731,0.846,0.1793524447609397,0.3142259418964386,0.624547004699707,0.4938046336174011
Unstructured Noise,CIFAR-10 (15% Noise),10,0.15,0.7444,0.8397,0.18194528187022485,0.31205493211746216,0.6128403439241297,0.49525827169418335
Unstructured Noise,CIFAR-10 (20% Noise),10,0.2,0.6995,0.8334,0.18841556591146136,0.31742292642593384,0.601921558380127,0.4948882460594177
Unstructured Noise,CIFAR-10 (25% Noise),10,0.25,0.6799,0.8204,0.18890886447008914,0.3152691274881363,0.5947882708381204,0.4988294839859009
