arch,width,seed,noise,params
resnet18,0.2,0,0.15,394846
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.9653982666397094,0.28872,1.5772321264266969,0.4228,-0.10996860265731812,-0.1293994039297104,0.015159903094172478,-0.07825917750597,0.01611245609819889,-0.0673108845949173,-0.008220249786973,0.039697304368019104,0.012415497563779354,0.044487327337265015,0.02365725301206112,0.008000200614333153,0.02141670137643814,0.016856849193572998,-0.0030212420970201492,-0.01574956253170967,-0.02262900024652481
2,1.765470567855835,0.39374,1.4405814401626587,0.4889,-0.09163202345371246,-0.11541648209095001,0.010918376967310905,-0.055980928242206573,0.02563374489545822,-0.04301130771636963,0.002350103110074997,0.04233619570732117,0.017278485000133514,0.04805269092321396,0.04701392352581024,-0.0049715181812644005,-0.002133527770638466,-0.0021255146712064743,-0.003030122723430395,0.014676944352686405,-0.018300918862223625
3,1.6726877185058593,0.4392,1.3329448852539063,0.5226,-0.08264730125665665,-0.1097065657377243,0.00849934108555317,-0.049674734473228455,0.030159831047058105,-0.03988616541028023,0.00345964590087533,0.04305201768875122,0.022924767807126045,0.05048435181379318,0.04152701050043106,0.012108704075217247,0.004960118792951107,0.012842109426856041,0.02516019716858864,0.008794475346803665,-0.05654853582382202
4,1.6093061095428467,0.46878,1.2384280807495118,0.5692,-0.08034154772758484,-0.10663296282291412,0.011972280219197273,-0.04664499685168266,0.0313444510102272,-0.03497971594333649,0.005316075868904591,0.03989765793085098,0.01516773086041212,0.049847498536109924,0.03611253574490547,0.0066570108756423,0.005343528464436531,0.007478202693164349,0.02255391888320446,-0.01201180461794138,-0.059688687324523926
5,1.5607529338073731,0.49296,1.184475966835022,0.5982,-0.0685214027762413,-0.0957457572221756,0.015447739511728287,-0.036134958267211914,0.022680265828967094,-0.029377030208706856,0.0029952984768897295,0.04311180114746094,0.013733732514083385,0.05288083851337433,0.045376718044281006,0.012539185583591461,0.0022708806209266186,0.011663837358355522,0.02918877638876438,-0.01092180609703064,-0.06355677545070648
6,1.521334727859497,0.51234,1.1366405193328857,0.614,-0.07423000782728195,-0.09984587132930756,0.012028098106384277,-0.037089742720127106,0.03173849359154701,-0.031141625717282295,0.012688906863331795,0.04743345081806183,0.020626449957489967,0.05503357946872711,0.04388460889458656,-0.00012648338451981544,0.016151953488588333,-0.007451142184436321,0.03227502107620239,0.0016412670956924558,-0.07446913421154022
7,1.4822179972457885,0.53074,1.0970089479446412,0.6269,-0.06548657268285751,-0.09410756081342697,0.010399416089057922,-0.018704015761613846,0.02884606644511223,-0.014521433040499687,0.015022601000964642,0.046035103499889374,0.013146933168172836,0.05669664964079857,0.04797506332397461,0.004631696734577417,0.012426727451384068,-0.009632960893213749,0.03570765629410744,-0.007041938602924347,-0.06857698410749435
8,1.4534847161483764,0.54242,1.0558681153297425,0.6462,-0.05884536728262901,-0.0889156386256218,0.011848073452711105,-0.017670437693595886,0.025588806718587875,-0.014703961089253426,0.012173627503216267,0.04898352921009064,0.015274535864591599,0.06554742157459259,0.06656081974506378,0.0057655079290270805,0.004954305477440357,0.001639970694668591,0.04151546210050583,-0.02238805778324604,-0.11307089775800705
9,1.4256587381744386,0.55502,1.0325597276687621,0.6643,-0.056519437581300735,-0.09163506329059601,0.011697471141815186,-0.014105025678873062,0.024000102654099464,-0.010730236768722534,0.01525531243532896,0.04906006157398224,0.015632031485438347,0.06495845317840576,0.06179843097925186,0.012977506965398788,0.006573362275958061,-0.0003128963871859014,0.037405263632535934,-0.02516620047390461,-0.11410600692033768
10,1.404846460533142,0.56636,1.0249005393981934,0.6651,-0.04538874328136444,-0.08340588957071304,0.007879924029111862,-0.0073022786527872086,0.021049821749329567,-0.003664102405309677,0.013438673689961433,0.04742702841758728,0.017872126772999763,0.0624079704284668,0.055733803659677505,0.009196220897138119,0.010941294021904469,0.002162365010008216,0.04388218745589256,-0.022910237312316895,-0.11347860842943192
