arch,width,seed,noise,params
resnet18,1,0,0.15,11171274
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.7915932904434204,0.3873,1.304685782814026,0.5443,-0.01732585020363331,-0.04835730046033859,0.007458919193595648,-0.010586466640233994,0.0039263516664505005,-0.001986215589568019,-0.0008915174985304475,0.017752014100551605,0.0020937875378876925,0.021404597908258438,0.01463001873344183,0.014832744374871254,-0.0005656155408360064,2.6106892619282007e-05,-0.011791771277785301,-0.002120121382176876,-0.07828721404075623
2,1.5153328784179687,0.52024,1.1635809825897216,0.5891,-0.014942338690161705,-0.048584599047899246,0.016922052949666977,-0.010124442167580128,0.008451215922832489,-0.002954152412712574,0.006254463456571102,0.03639720752835274,0.009859929792582989,0.035098422318696976,0.010213948786258698,0.016336821019649506,0.0075408476404845715,0.000591290183365345,0.018467769026756287,0.005748002789914608,-0.15906256437301636
3,1.3782692714691163,0.5844,0.9977112393379212,0.6625,-0.019680092111229897,-0.05218391492962837,0.017939327284693718,0.004170367028564215,0.011267505586147308,0.010960171930491924,0.009540388360619545,0.04195638746023178,-0.007047385908663273,0.03496488928794861,0.01949499547481537,0.031130898743867874,0.03783060237765312,0.029660997912287712,-0.10200471431016922,0.00419433880597353,-0.24925556778907776
4,1.283791668624878,0.62856,0.8206710939407349,0.7339,-0.017631497234106064,-0.04853970184922218,0.021160298958420753,1.1618481948971748e-05,0.013371561653912067,0.006110733840614557,0.011663687415421009,0.029652034863829613,-0.0075931241735816,0.03266812860965729,0.025322120636701584,0.0322246253490448,0.027127040550112724,0.04074465110898018,-0.06284193694591522,0.00017021954408846796,-0.223812997341156
5,1.219342637653351,0.65312,0.7798277660369873,0.7561,-0.019155077636241913,-0.05445553734898567,0.0130029721185565,0.021416738629341125,0.01693771407008171,0.0224568210542202,0.01050160825252533,0.03499342128634453,0.0015080657321959734,0.02028815448284149,0.0030607949011027813,0.01614266261458397,0.006757291033864021,0.026278188452124596,-0.053687844425439835,0.013199158012866974,-0.21482543647289276
6,1.1679839339065552,0.67726,0.7184370808601379,0.7811,-0.017241526395082474,-0.04748324304819107,0.02000466361641884,0.022595077753067017,0.019532322883605957,0.014998779632151127,0.0211156215518713,0.033182840794324875,-0.007611231878399849,0.025305243209004402,-0.002132458845153451,0.002231702907010913,0.004177657887339592,0.021192556247115135,-0.05316780135035515,0.0053428360261023045,-0.24191589653491974
7,1.1252901900100707,0.69436,0.7474265007972717,0.7821,-0.013436687178909779,-0.04036251828074455,0.01574164256453514,0.026596201583743095,0.01590040698647499,0.015811795368790627,0.013476209715008736,0.03609408438205719,-0.015468967147171497,0.03227556124329567,-0.021434802561998367,-0.010228410363197327,-0.0012746024876832962,-0.008045035414397717,-0.04320373386144638,0.002128750551491976,-0.2464955747127533
8,1.0966722760391234,0.70552,0.7110438462257386,0.7999,-0.015414057299494743,-0.04730692505836487,0.012991072610020638,0.03099813684821129,0.021564599126577377,0.015136142261326313,0.016317134723067284,0.03247859328985214,-0.008046640083193779,0.006220460869371891,-0.028270985931158066,-0.02332507073879242,-0.008811596781015396,-0.030672118067741394,-0.05232725292444229,0.0027809683233499527,-0.13889074325561523
9,1.0730126470565795,0.71436,0.6732706467628479,0.8073,-0.015660515055060387,-0.04437348619103432,0.018440987914800644,0.03148937225341797,0.01638064719736576,0.020563093945384026,0.015490720979869366,0.03571923449635506,-0.007746955379843712,0.020319676026701927,-0.02184932678937912,-0.0101180924102664,-0.009857157245278358,-0.008752592839300632,-0.03128084912896156,0.0015951235545799136,-0.17518573999404907
10,1.0415206463623048,0.72592,0.6817682938575744,0.7939,-0.017886271700263023,-0.045142192393541336,0.010010676458477974,0.0358409509062767,0.01230284571647644,0.015442023985087872,0.01764632947742939,0.048553649336099625,-0.011405739933252335,0.016564639285206795,-0.04073728621006012,-0.013175616040825844,0.003099741181358695,-0.0065185329876840115,-0.046326957643032074,-0.016057705506682396,-0.23317791521549225
