arch,width,seed,noise,params
simplecnn,,1,0.1,153950
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
1,2.04450464302063,0.29872,1.6519267473220824,0.3904,-0.03591198846697807,-0.022852936759591103,0.04222038388252258,-0.03415766358375549
2,1.5916267791366576,0.4639,1.3377451318740845,0.5381,0.05801551416516304,-0.044402968138456345,0.011766629293560982,0.006529310718178749
3,1.4241499412155152,0.54156,1.4995731420516967,0.4475,0.023498153313994408,-0.07625167816877365,0.02281341701745987,-0.0836036205291748
4,1.320766852684021,0.59348,1.0766590740203856,0.6402,0.050150033086538315,-0.07623065263032913,-0.011367445811629295,-0.009855102747678757
5,1.248573426322937,0.6252,0.9248724256515503,0.6939,0.06259524077177048,-0.06029582396149635,0.04050184413790703,-0.04311314970254898
6,1.1941314708709716,0.64926,0.9757344165802002,0.6615,0.07520126551389694,-0.02990739233791828,0.02103864774107933,-0.062068648636341095
7,1.1577446813201904,0.66734,0.9900912105560302,0.6441,0.09397877007722855,-0.05361054092645645,0.022093873471021652,-0.0663633942604065
8,1.126011543235779,0.68258,0.9840794610023499,0.6622,-0.019770322367548943,-0.041830580681562424,0.060064904391765594,-0.05574297159910202
9,1.0962429513931276,0.69544,0.8721802478790284,0.7099,0.11874892562627792,-0.0918736457824707,0.03407759964466095,-0.02918977662920952
10,1.0798516384887695,0.7029,0.8295073299407959,0.734,0.0982639491558075,-0.074537493288517,0.01133952010422945,-0.07753949612379074
11,1.0593388132476806,0.70878,0.7947305662155152,0.7422,0.12175051867961884,-0.0953361913561821,-0.006610610987991095,-0.02864477038383484
12,1.0400826672744752,0.7187,0.7119478837013244,0.786,0.05584080517292023,-0.07047303020954132,0.02877095341682434,-0.04651009663939476
13,1.0237244637870788,0.72284,0.7965840877532959,0.7427,0.11647775769233704,-0.10544844716787338,-0.006899935193359852,-0.02443685568869114
14,1.012987923297882,0.72912,0.7754924081802368,0.7531,0.10150096565485,-0.09298190474510193,0.024326719343662262,-0.035993777215480804
15,1.0031923572540282,0.73092,0.7097851890563965,0.7924,0.13405898213386536,-0.07205983251333237,-0.017750771716237068,-0.08132528513669968
16,0.9905326399993897,0.73608,0.7004683178901673,0.7901,0.10974001884460449,-0.08169185370206833,0.021098904311656952,-0.05444598197937012
17,0.9845479405593872,0.73856,0.8125750915527343,0.7497,0.22814565896987915,-0.1742786318063736,-0.06829512119293213,-0.05724015831947327
18,0.972442652759552,0.74448,0.7035796975135803,0.7791,0.13531452417373657,-0.10736392438411713,-0.021313577890396118,0.003971614874899387
19,0.96450028881073,0.74646,0.7037704514503479,0.7877,0.11002802848815918,-0.07933076471090317,-0.015229696407914162,-0.035775743424892426
20,0.9587440364074707,0.74852,0.6552948406219482,0.8147,0.1542169451713562,-0.09453294426202774,-0.05747516453266144,-0.06156536936759949
21,0.9517556448173523,0.75074,0.6806764854431152,0.7902,0.13329198956489563,-0.0861029401421547,-0.010348429903388023,-0.0291946679353714
22,0.9426006737518311,0.75424,0.756388758468628,0.7611,0.11598058044910431,-0.1154228001832962,-0.03636806085705757,0.010950390249490738
23,0.9352214149856567,0.75816,0.7147449166297912,0.7782,0.14589667320251465,-0.12002039700746536,-0.03374599665403366,-0.062130481004714966
24,0.9298044541931152,0.7587,0.6422748791694641,0.8122,0.1218428760766983,-0.07393227517604828,-0.041021231561899185,-0.07064390182495117
25,0.9242799935531616,0.76054,0.6726275497913361,0.7964,0.15240179002285004,-0.1103755533695221,-0.042510878294706345,-0.05653832480311394
26,0.9204608967018127,0.76318,0.6471148038864136,0.8108,0.14257919788360596,-0.11596685647964478,-0.0726863294839859,-0.02501731924712658
27,0.9131935064315796,0.76432,0.6866590107917786,0.7881,0.1379571259021759,-0.109691321849823,-0.062279898673295975,-0.036036137491464615
28,0.9097686297607422,0.76752,0.6448137809753418,0.812,0.100688137114048,-0.09014401584863663,-0.06390683352947235,-0.04771009832620621
29,0.9026036442565918,0.7685,0.646203688621521,0.8104,0.10380912572145462,-0.08159857988357544,-0.05465120077133179,-0.048966098576784134
30,0.8971556225967408,0.77046,0.6950706965446473,0.7813,0.09224403649568558,-0.07384630292654037,-0.026589957997202873,-0.022501669824123383
31,0.8944510598945618,0.77024,0.6292537195205689,0.8083,0.11196303367614746,-0.09238936752080917,-0.04952751845121384,-0.05909406393766403
32,0.8869945917129517,0.77156,0.6810804285049439,0.79,0.16145026683807373,-0.12477123737335205,-0.07237280160188675,-0.05010604113340378
33,0.8840775532341003,0.77306,0.6638528861522675,0.801,0.14680057764053345,-0.13228458166122437,-0.07352594286203384,-0.056113503873348236
34,0.8798216547966003,0.77504,0.7108921695709228,0.7757,0.12684902548789978,-0.10860138386487961,-0.055629223585128784,-0.03339793160557747
35,0.8758641558837891,0.7771,0.6529236534118652,0.8061,0.12100411206483841,-0.11381824314594269,-0.0886722281575203,-0.055905673652887344
36,0.8702016259384155,0.77806,0.6494359386444092,0.8048,0.13460785150527954,-0.13647684454917908,-0.06587384641170502,-0.02178860269486904
37,0.8661293580627442,0.77656,0.6502563141345977,0.8076,0.1540461778640747,-0.13931727409362793,-0.08854519575834274,-0.03547871485352516
38,0.8618479761505127,0.77998,0.6234967551231384,0.8099,0.1339500993490219,-0.11064416915178299,-0.07680127024650574,-0.04055844247341156
39,0.8621171438217163,0.78046,0.6263246448040009,0.8125,0.13518473505973816,-0.13279706239700317,-0.09827452898025513,-0.028885284438729286
40,0.8560458203315735,0.78294,0.6192283912658691,0.8172,0.15170040726661682,-0.14084047079086304,-0.08351391553878784,-0.05711963027715683
41,0.8505097965431213,0.78204,0.6744562233924866,0.7881,0.08983279019594193,-0.09445923566818237,-0.06651508063077927,-0.02316775918006897
42,0.8482680255508422,0.78336,0.6060346040725708,0.8205,0.1101796105504036,-0.1109444797039032,-0.0963970348238945,-0.04942638799548149
43,0.8472149089431763,0.784,0.67041155834198,0.7892,0.13581492006778717,-0.13556624948978424,-0.09094695001840591,-0.028957320377230644
44,0.8409278191947936,0.78592,0.6580599118232727,0.795,0.1387956142425537,-0.13514819741249084,-0.10207261145114899,-0.04120258614420891
45,0.8401606898117066,0.78562,0.6156832292556763,0.8145,0.11332914978265762,-0.11108049750328064,-0.08986830711364746,-0.03562227636575699
46,0.8361248788833618,0.78592,0.6137472440719605,0.8125,0.10920830070972443,-0.10477094352245331,-0.08517621457576752,-0.05183309316635132
47,0.8363208292770385,0.7872,0.6139558044433594,0.8128,0.11852149665355682,-0.10479871183633804,-0.11187362670898438,-0.04378841817378998
48,0.8305166708374023,0.79004,0.603875730419159,0.8188,0.10574600100517273,-0.1054343581199646,-0.08817316591739655,-0.057510171085596085
49,0.8294490228271484,0.78746,0.6434788538932801,0.798,0.12930014729499817,-0.13037517666816711,-0.09060440957546234,-0.03643980249762535
50,0.8247425872802734,0.79082,0.6362917583942413,0.8141,0.156344473361969,-0.15447339415550232,-0.15691931545734406,-0.06093818321824074
51,0.8203429113197327,0.79132,0.5875240295410157,0.824,0.10839879512786865,-0.116554856300354,-0.09245233237743378,-0.06273946166038513
52,0.8184720284080506,0.79242,0.5967676396369934,0.8249,0.12806394696235657,-0.12101535499095917,-0.11119377613067627,-0.07085098326206207
53,0.8130621781539917,0.7954,0.6307115271091461,0.8044,0.11496686935424805,-0.10839971154928207,-0.11287547647953033,-0.05873744562268257
54,0.8074630319786071,0.79602,0.6291526121139527,0.8068,0.12699231505393982,-0.12768520414829254,-0.12523704767227173,-0.07608810067176819
55,0.8124142766952515,0.79162,0.6102181959629058,0.8191,0.1245802566409111,-0.1375344693660736,-0.13421446084976196,-0.0594080351293087
56,0.8067735993003845,0.79318,0.5828654735088349,0.828,0.12049534916877747,-0.12682132422924042,-0.12463539838790894,-0.04212143272161484
57,0.8007850991630554,0.7955,0.6373304853916169,0.8034,0.1630353033542633,-0.15273213386535645,-0.15372392535209656,-0.06254121661186218
58,0.8036404809188843,0.79648,0.6136370976924896,0.8161,0.12749269604682922,-0.12295375764369965,-0.14858020842075348,-0.07526174932718277
59,0.7999066446876526,0.7959,0.594248566532135,0.8229,0.1319177895784378,-0.12951025366783142,-0.1533290296792984,-0.05879645049571991
60,0.7960859875869751,0.7969,0.6464770986557007,0.8059,0.09879849851131439,-0.10269095748662949,-0.13334061205387115,-0.05295490100979805
61,0.7934502785110473,0.79728,0.586993427991867,0.8204,0.130562424659729,-0.13705351948738098,-0.12636704742908478,-0.0625353455543518
62,0.7907149621963501,0.79806,0.5957816466808319,0.82,0.12112170457839966,-0.12506891787052155,-0.14636832475662231,-0.04328905791044235
63,0.7874436453819275,0.79758,0.5802929806232452,0.8251,0.12006399780511856,-0.12953457236289978,-0.12389829009771347,-0.03305356204509735
64,0.7839976585769654,0.80106,0.6440403701305389,0.8038,0.13767339289188385,-0.146723210811615,-0.1485239565372467,-0.06353309750556946
65,0.7869420983314515,0.79976,0.594392873430252,0.8222,0.1261996477842331,-0.1401582658290863,-0.1380428969860077,-0.033301349729299545
66,0.7820537790107727,0.801,0.6275636099338532,0.8119,0.13616451621055603,-0.14862149953842163,-0.13712286949157715,-0.0530988909304142
67,0.7815296680259705,0.80112,0.6110813601493835,0.8144,0.14285260438919067,-0.142732173204422,-0.14632558822631836,-0.055693648755550385
68,0.7785214062881469,0.8019,0.6285832265377045,0.8105,0.13682863116264343,-0.1476168930530548,-0.15860524773597717,-0.05652547627687454
69,0.7766958497619629,0.80288,0.610222034072876,0.811,0.1280452013015747,-0.14311723411083221,-0.1413203775882721,-0.06106393039226532
70,0.7747431464004516,0.80318,0.5992838196277619,0.8138,0.14501051604747772,-0.1474316567182541,-0.15366746485233307,-0.04775063320994377
71,0.7696423698043823,0.80278,0.648108139038086,0.7988,0.11124587059020996,-0.12863507866859436,-0.13167919218540192,-0.027768241241574287
