arch,width,seed,noise,params
resnet18,1,1,0.15,11171274
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.7817982761383058,0.38888,1.2366503301620484,0.5667,0.01686255633831024,-0.02746984362602234,-0.006475185044109821,-0.015873661264777184,-0.003188490867614746,-0.002848156029358506,0.002961543621495366,0.028267819434404373,0.002211002865806222,0.0360574945807457,0.022764643654227257,0.005866930354386568,0.0029447937849909067,0.001572642708197236,-0.004235259722918272,0.0012851576320827007,-0.0581226646900177
2,1.4873182793426514,0.53162,1.0370365728378297,0.6489,0.0204816572368145,-0.024135323241353035,-0.0036784992553293705,-0.0003485610941424966,0.013081799261271954,0.021331941708922386,0.02453373745083809,0.03634457662701607,0.014940857887268066,0.02984599396586418,0.006508396007120609,0.014536533504724503,0.013911426067352295,0.010843701660633087,0.016182422637939453,-0.006479821167886257,-0.09146606177091599
3,1.3580101798248292,0.59258,0.9445784162521362,0.6888,0.018706323578953743,-0.01594056934118271,-0.0010229360777884722,0.003164366353303194,0.012350513599812984,0.016592584550380707,0.019802942872047424,0.03459974750876427,0.01979495957493782,0.03347248584032059,0.010633295401930809,0.01483537070453167,0.01506719645112753,0.013978132046759129,-0.026943186298012733,0.016211707144975662,-0.12213113903999329
4,1.2722231633758545,0.63076,0.87896265001297,0.7223,0.021244453266263008,-0.020076729357242584,0.0011277318699285388,0.0001473671436542645,0.012713775970041752,0.013254703022539616,0.019348831847310066,0.038342587649822235,0.008883554488420486,0.03827175870537758,0.02485138550400734,0.01634388044476509,0.03660515323281288,0.021165000274777412,-0.01653360202908516,0.011545863933861256,-0.21207907795906067
5,1.2118520936965942,0.6557,0.7819722033500671,0.7615,0.018941663205623627,-0.023028748109936714,0.0007046590908430517,0.006786084268242121,0.02078339457511902,0.02237582579255104,0.03490769863128662,0.03234214708209038,0.02406563237309456,0.027670975774526596,0.0027275914326310158,0.017395786941051483,0.017051279544830322,0.024859024211764336,0.01604609005153179,0.0075169275514781475,-0.11353743076324463
6,1.1705989400482177,0.6734,0.7316096921920776,0.7817,0.020393826067447662,-0.01910279504954815,0.002311544492840767,0.0067393057979643345,0.012576908804476261,0.022163329645991325,0.028513560071587563,0.04230165854096413,0.017376460134983063,0.03064092993736267,0.00723244296386838,0.0023303113412111998,0.015131674706935883,0.005842885933816433,0.004400515463203192,0.00398224638774991,-0.10293189436197281
7,1.1307575867462158,0.68882,0.6825046518325806,0.7983,0.019394760951399803,-0.02162487991154194,0.0018082907190546393,0.0034686510916799307,0.011609485372900963,0.017502201721072197,0.02985217235982418,0.04639601707458496,0.01608235575258732,0.03560001775622368,0.007985111325979233,0.0042962441220879555,0.028059160336852074,0.0032728714868426323,-0.028943806886672974,-0.006211928091943264,-0.17741622030735016
8,1.1069124089431763,0.69904,0.683692174243927,0.7969,0.01998404785990715,-0.020756108686327934,0.00877910666167736,0.008083902299404144,0.01371033489704132,0.022185493260622025,0.03192280977964401,0.04096325486898422,0.01369969081133604,0.031498171389102936,0.0088833998888731,0.006565180141478777,0.018143394961953163,0.00628748768940568,-0.013276453129947186,0.006653585471212864,-0.23551639914512634
9,1.0778301706695557,0.70974,0.6946205253601074,0.7988,0.018693832680583,-0.02047848328948021,-0.0009534595301374793,0.01146070845425129,0.013773188926279545,0.024126911535859108,0.028946416452527046,0.04243174567818642,0.019802551716566086,0.03144250437617302,0.009095286950469017,-0.0013214065693318844,0.015033958479762077,-0.004544532857835293,-0.013757358305156231,-0.0023319257888942957,-0.14798195660114288
10,1.0559240855789185,0.71678,0.6584256349563599,0.8084,0.020287293940782547,-0.019143950194120407,0.001100908499211073,0.01007744763046503,0.019233042374253273,0.022921888157725334,0.033639032393693924,0.04064756631851196,0.020154006779193878,0.029583275318145752,-0.00034258392406627536,0.0035737452562898397,0.024029994383454323,0.003984152339398861,-0.02089187130331993,-0.0009020958677865565,-0.1554388701915741
