arch,width,seed,noise,params
basenet18,4,0,0.15,11000138
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.9371330411529541,0.31026,1.5279924236297608,0.4484,0.0017404828686267138,0.005788703449070454,0.019694779068231583,0.014863137155771255,0.05613339692354202,0.014624245464801788,0.018094943836331367,0.02732699364423752,-0.003085468662902713,-0.016995538026094437,-0.044434625655412674,-0.06697852909564972,-0.140191450715065,-0.15469901263713837,-0.16097533702850342,-0.09713056683540344,-0.0944112241268158
2,1.6846925106048585,0.4386,1.2903158454895018,0.5664,0.010764330625534058,-0.013312280178070068,0.03222006931900978,0.003742536064237356,-0.008719692938029766,-0.013450114987790585,-0.01592470146715641,0.038411013782024384,0.022353075444698334,0.02850102260708809,-0.032024651765823364,-0.014975465834140778,-0.01596396043896675,0.016590986400842667,-0.08774921298027039,-0.05763201788067818,-0.05169587954878807
3,1.5078639140319825,0.52668,1.25967741355896,0.5773,-0.06421421468257904,0.05397508293390274,0.01669408567249775,0.005729894153773785,-0.06113748997449875,-0.016969813033938408,-0.04871804639697075,-0.01753387600183487,-0.07627692818641663,-0.04667646065354347,-0.08494026213884354,-0.04043204337358475,-0.038941942155361176,-0.0216229110956192,-0.11709313839673996,-0.0638679563999176,-0.12785686552524567
4,1.3906860956192018,0.58106,1.4511357177734374,0.5256,0.006967408582568169,-0.01042877696454525,0.09634830802679062,-0.0363287478685379,-0.06615883111953735,-0.05578684061765671,-0.10031603276729584,-0.03938194364309311,-0.08669455349445343,-0.05888976901769638,-0.15638461709022522,-0.09335766732692719,-0.07751534879207611,-0.00755732599645853,-0.16931863129138947,-0.02256161719560623,-0.4133668839931488
5,1.3103075510787965,0.61796,0.8955779509544373,0.7291,-0.019476894289255142,-0.008206777274608612,0.030330365523695946,-0.06462281197309494,-0.1314806491136551,-0.08426689356565475,-0.12547823786735535,-0.10741618275642395,-0.10549980401992798,-0.08933711051940918,-0.1395432949066162,-0.13528716564178467,-0.07622160762548447,-0.07228272408246994,-0.1338064968585968,-0.09815116971731186,-0.27917051315307617
6,1.2502398603820801,0.64626,0.9920023077011109,0.6829,-0.006372345145791769,-0.034373123198747635,0.12076488137245178,-0.11891334503889084,-0.13787175714969635,-0.1138889342546463,-0.1553049087524414,-0.1933242678642273,-0.199911430478096,-0.16073523461818695,-0.2060627043247223,-0.1792183369398117,-0.1598028540611267,-0.06892674416303635,-0.1279260516166687,-0.0842924416065216,-0.35928863286972046
7,1.2046556632232666,0.66468,0.8648192935943604,0.7368,0.011767452582716942,-0.009642845019698143,-0.005305783357471228,-0.0684233158826828,-0.19745990633964539,-0.12453022599220276,-0.212007537484169,-0.21843110024929047,-0.18657325208187103,-0.2089303731918335,-0.295208215713501,-0.2953946888446808,-0.180527001619339,-0.1400643140077591,-0.1754750907421112,-0.17726802825927734,-0.24204161763191223
8,1.1663853313446044,0.67656,0.7880745716094971,0.7578,0.054346438497304916,0.04259742423892021,0.020081261172890663,-0.10767322033643723,-0.22418195009231567,-0.1477815806865692,-0.3084651231765747,-0.24910546839237213,-0.19229653477668762,-0.21651533246040344,-0.37511056661605835,-0.34169501066207886,-0.21597719192504883,-0.15491005778312683,-0.2527364492416382,-0.20750349760055542,-0.40127032995224
9,1.139006795501709,0.68968,0.8084555388450623,0.7529,0.09749902784824371,-0.06931416690349579,0.09876732528209686,-0.09398449957370758,-0.23342090845108032,-0.14347481727600098,-0.2977876663208008,-0.31904336810112,-0.29038017988204956,-0.25708919763565063,-0.39176270365715027,-0.3506222665309906,-0.21850217878818512,-0.16309797763824463,-0.18316034972667694,-0.15678513050079346,-0.3890872299671173
10,1.1179709756851197,0.69836,0.8483423958778381,0.7412,-0.0308552086353302,0.0956760048866272,0.054640110582113266,-0.11121530830860138,-0.21321552991867065,-0.13409942388534546,-0.3693436086177826,-0.3750188946723938,-0.3001682758331299,-0.29257988929748535,-0.4616124927997589,-0.4008852541446686,-0.2807811498641968,-0.1407824009656906,-0.2611062824726105,-0.1652984768152237,-0.49888867139816284
11,1.0894961376190186,0.7102,0.6669668668746949,0.7991,0.11588291823863983,-0.014825178310275078,0.12342167645692825,-0.10159175843000412,-0.2562054395675659,-0.128082275390625,-0.38009336590766907,-0.38344714045524597,-0.2832857370376587,-0.35280224680900574,-0.4962903559207916,-0.4335874021053314,-0.3235732913017273,-0.1228860467672348,-0.25310832262039185,-0.24334026873111725,-0.4648095667362213
12,1.0486859104537964,0.72578,0.5852966305732727,0.8325,0.06758423149585724,-0.04587342590093613,0.05152764543890953,-0.07013612985610962,-0.23956146836280823,-0.14841601252555847,-0.35146594047546387,-0.3830479681491852,-0.3596193790435791,-0.36043089628219604,-0.49987584352493286,-0.434018075466156,-0.3110182285308838,-0.13478893041610718,-0.2215396910905838,-0.1859096735715866,-0.4677141308784485
