Layer1,Layer2,acc,avg_loss,epoch,run,model_name
0.18513101,0.093135424,4.6,0.21140175,0.0,0.0,vgg_tiny
0.15018946,-0.29796767,8.8,0.1945984,1.0,0.0,vgg_tiny
0.16246551,-0.46890405,13.2,0.18269601,2.0,0.0,vgg_tiny
0.15398462,-0.62973654,17.6,0.17593579,3.0,0.0,vgg_tiny
0.14571735,-0.67241836,18.8,0.16942516,4.0,0.0,vgg_tiny
0.14071152,-0.7577686,21.6,0.16274622,5.0,0.0,vgg_tiny
0.13648903,-0.820479,22.6,0.15543137,6.0,0.0,vgg_tiny
0.12478476,-0.8302284,23.2,0.15378365,7.0,0.0,vgg_tiny
0.12148652,-0.88117915,25.2,0.15078026,8.0,0.0,vgg_tiny
0.12097517,-0.9299314,26.4,0.15156743,9.0,0.0,vgg_tiny
0.112955175,-0.92478025,24.2,0.15403193,10.0,0.0,vgg_tiny
0.10839415,-0.96624655,27.6,0.14731985,11.0,0.0,vgg_tiny
0.1021238,-0.98385,24.6,0.15114565,12.0,0.0,vgg_tiny
0.09982176,-0.9987648,25.0,0.15074457,13.0,0.0,vgg_tiny
0.08994294,-1.027399,29.4,0.15162615,14.0,0.0,vgg_tiny
0.09242359,-1.0265439,29.8,0.14469385,15.0,0.0,vgg_tiny
0.0783913,-1.0001321,28.0,0.14295061,16.0,0.0,vgg_tiny
0.07651458,-0.9986317,30.4,0.13194025,17.0,0.0,vgg_tiny
0.07666254,-1.0512335,32.2,0.14335813,18.0,0.0,vgg_tiny
0.0722965,-1.0555457,29.4,0.13701217,19.0,0.0,vgg_tiny
0.065274015,-0.9863699,29.0,0.14814217,20.0,0.0,vgg_tiny
0.06422322,-1.0095592,31.8,0.13984223,21.0,0.0,vgg_tiny
0.058662035,-1.031481,31.2,0.13737431,22.0,0.0,vgg_tiny
0.05244389,-0.9873982,31.2,0.13671005,23.0,0.0,vgg_tiny
0.056297295,-0.9919932,30.2,0.1377056,24.0,0.0,vgg_tiny
0.04969407,-0.9918762,32.8,0.13838322,25.0,0.0,vgg_tiny
0.051146943,-1.0009724,32.0,0.13376577,26.0,0.0,vgg_tiny
0.04374226,-0.9536834,36.0,0.13231844,27.0,0.0,vgg_tiny
0.17919782,0.07240383,4.2,0.21442905,0.0,1.0,vgg_tiny
0.14591841,-0.31855837,11.6,0.19145994,1.0,1.0,vgg_tiny
0.12764993,-0.506647,14.6,0.18040575,2.0,1.0,vgg_tiny
0.12108197,-0.6639544,20.2,0.16738638,3.0,1.0,vgg_tiny
0.1072568,-0.70272845,21.6,0.16102758,4.0,1.0,vgg_tiny
0.108958736,-0.80072516,20.0,0.15969098,5.0,1.0,vgg_tiny
0.102424465,-0.8691344,22.0,0.15624222,6.0,1.0,vgg_tiny
0.103192225,-0.91739833,23.4,0.15381916,7.0,1.0,vgg_tiny
0.09320236,-0.9271535,26.4,0.15529974,8.0,1.0,vgg_tiny
0.097348675,-0.98946875,25.0,0.15738332,9.0,1.0,vgg_tiny
0.088048376,-0.96050286,27.0,0.14971635,10.0,1.0,vgg_tiny
0.0817436,-0.9970486,24.2,0.14918312,11.0,1.0,vgg_tiny
0.08613481,-1.0325571,30.8,0.14455946,12.0,1.0,vgg_tiny
0.07720271,-1.0305662,25.4,0.14448035,13.0,1.0,vgg_tiny
0.077738956,-1.0587046,27.2,0.14600253,14.0,1.0,vgg_tiny
0.0662869,-1.0292201,31.2,0.14123297,15.0,1.0,vgg_tiny
0.06571395,-1.0133187,32.4,0.1394656,16.0,1.0,vgg_tiny
0.06776496,-1.0549515,30.0,0.13791582,17.0,1.0,vgg_tiny
0.05728853,-1.0184168,30.8,0.13842326,18.0,1.0,vgg_tiny
0.05369556,-1.0127769,27.0,0.14838585,19.0,1.0,vgg_tiny
0.05113317,-1.0375239,34.4,0.13910069,20.0,1.0,vgg_tiny
0.04799069,-1.0544939,31.0,0.13608022,21.0,1.0,vgg_tiny
0.046210006,-1.0264381,29.6,0.1410593,22.0,1.0,vgg_tiny
0.04119827,-1.050497,29.6,0.13752034,23.0,1.0,vgg_tiny
0.039069254,-1.0371884,28.0,0.14105797,24.0,1.0,vgg_tiny
0.03377633,-1.0089523,36.0,0.13506961,25.0,1.0,vgg_tiny
0.03572358,-0.98954886,32.4,0.14032239,26.0,1.0,vgg_tiny
0.029259222,-0.9840639,29.2,0.13840555,27.0,1.0,vgg_tiny
0.020949002,-0.906087,31.6,0.13504489,28.0,1.0,vgg_tiny
0.018618753,-0.9244878,34.4,0.13148698,29.0,1.0,vgg_tiny
0.022875374,-0.9389675,30.6,0.14060394,30.0,1.0,vgg_tiny
0.0143946195,-0.9152074,31.6,0.13535646,31.0,1.0,vgg_tiny
0.011946065,-0.8897206,35.6,0.12972286,32.0,1.0,vgg_tiny
0.014405981,-0.8877286,30.6,0.13492025,33.0,1.0,vgg_tiny
0.011442275,-0.88030595,33.8,0.12798771,34.0,1.0,vgg_tiny
0.0107331965,-0.8930974,34.6,0.13379169,35.0,1.0,vgg_tiny
0.00977459,-0.88896734,33.0,0.13225587,36.0,1.0,vgg_tiny
-0.0022862512,-0.8230116,34.6,0.130531,37.0,1.0,vgg_tiny
0.0037214248,-0.8757588,36.0,0.1287882,38.0,1.0,vgg_tiny
0.004248527,-0.85352314,32.6,0.12955287,39.0,1.0,vgg_tiny
-0.0034245937,-0.8037752,32.4,0.13698332,40.0,1.0,vgg_tiny
-0.00019704399,-0.82420725,38.2,0.12061886,41.0,1.0,vgg_tiny
-0.0037591972,-0.8109193,32.8,0.13339809,42.0,1.0,vgg_tiny
-0.00767068,-0.8131847,35.2,0.12570682,43.0,1.0,vgg_tiny
-0.01266794,-0.7514208,33.8,0.13245817,44.0,1.0,vgg_tiny
-0.012430718,-0.7813366,32.4,0.1318381,45.0,1.0,vgg_tiny
-0.017716035,-0.75788826,32.6,0.13116673,46.0,1.0,vgg_tiny
-0.015928833,-0.7234239,36.0,0.12968025,47.0,1.0,vgg_tiny
-0.019004822,-0.72599924,37.6,0.12160593,48.0,1.0,vgg_tiny
-0.022006614,-0.72671455,34.0,0.13324444,49.0,1.0,vgg_tiny
-0.020236034,-0.72224486,34.6,0.1222498,50.0,1.0,vgg_tiny
-0.023419464,-0.70610404,34.8,0.12751982,51.0,1.0,vgg_tiny
0.1682937,0.11100067,5.0,0.2121191,0.0,2.0,vgg_tiny
0.13803208,-0.2968097,11.0,0.19257095,1.0,2.0,vgg_tiny
0.13331099,-0.46929345,15.0,0.17980167,2.0,2.0,vgg_tiny
0.10721614,-0.49584335,16.8,0.17540285,3.0,2.0,vgg_tiny
0.11177428,-0.6081401,19.8,0.1687503,4.0,2.0,vgg_tiny
0.107904196,-0.66696787,19.0,0.1640138,5.0,2.0,vgg_tiny
0.10327582,-0.7055335,20.6,0.16342625,6.0,2.0,vgg_tiny
0.106947385,-0.7805288,24.0,0.15335774,7.0,2.0,vgg_tiny
0.09925034,-0.8290509,25.0,0.15323162,8.0,2.0,vgg_tiny
0.0924778,-0.8294527,28.6,0.14923866,9.0,2.0,vgg_tiny
0.09426573,-0.90446323,25.4,0.15297039,10.0,2.0,vgg_tiny
0.089106984,-0.8897916,30.2,0.1399439,11.0,2.0,vgg_tiny
0.083006464,-0.8991699,25.6,0.1504805,12.0,2.0,vgg_tiny
0.08296848,-0.9150121,28.6,0.13764052,13.0,2.0,vgg_tiny
0.07800199,-0.9652914,27.0,0.14556524,14.0,2.0,vgg_tiny
0.0745181,-0.92345107,28.6,0.13854226,15.0,2.0,vgg_tiny
0.07582716,-0.98217136,29.0,0.14390507,16.0,2.0,vgg_tiny
0.073960856,-0.9847891,30.8,0.14025636,17.0,2.0,vgg_tiny
0.05933647,-0.8802338,26.6,0.14425287,18.0,2.0,vgg_tiny
0.060707387,-0.93169713,30.2,0.13635708,19.0,2.0,vgg_tiny
0.057567578,-0.9319891,29.2,0.14230898,20.0,2.0,vgg_tiny
0.054332364,-0.8927228,30.4,0.14025576,21.0,2.0,vgg_tiny
0.058758613,-0.95973855,28.4,0.14146657,22.0,2.0,vgg_tiny
0.045971267,-0.9003091,27.6,0.14122131,23.0,2.0,vgg_tiny
0.046139494,-0.9313939,28.4,0.1371812,24.0,2.0,vgg_tiny
0.044298593,-0.93438166,32.0,0.13719448,25.0,2.0,vgg_tiny
0.04195413,-0.93352574,31.2,0.1348949,26.0,2.0,vgg_tiny
0.032671638,-0.89145344,32.6,0.137804,27.0,2.0,vgg_tiny
0.036756057,-0.90255976,28.4,0.1449589,28.0,2.0,vgg_tiny
0.029444415,-0.8839102,29.6,0.14254008,29.0,2.0,vgg_tiny
0.02388006,-0.8498156,30.0,0.14239992,30.0,2.0,vgg_tiny
0.024380391,-0.873062,31.0,0.13570996,31.0,2.0,vgg_tiny
0.024632215,-0.89254254,31.2,0.13852645,32.0,2.0,vgg_tiny
0.02587657,-0.9017446,36.6,0.13104606,33.0,2.0,vgg_tiny
0.0164502,-0.8413836,26.6,0.14151329,34.0,2.0,vgg_tiny
0.012027332,-0.8337917,30.2,0.13736808,35.0,2.0,vgg_tiny
0.011312878,-0.8165769,34.0,0.13027269,36.0,2.0,vgg_tiny
0.005553334,-0.8294779,30.4,0.14153694,37.0,2.0,vgg_tiny
0.0049079494,-0.8056438,33.0,0.13428143,38.0,2.0,vgg_tiny
0.0016645005,-0.79168195,32.4,0.13619791,39.0,2.0,vgg_tiny
0.0028292472,-0.77086157,34.4,0.13610774,40.0,2.0,vgg_tiny
-0.0012198916,-0.7572398,33.4,0.13253553,41.0,2.0,vgg_tiny
-0.002098745,-0.7585047,37.0,0.12956552,42.0,2.0,vgg_tiny
-3.8817284e-06,-0.7666426,36.0,0.12759867,43.0,2.0,vgg_tiny
-0.008171711,-0.71728694,32.4,0.13617271,44.0,2.0,vgg_tiny
-0.01156426,-0.72746223,31.4,0.13463297,45.0,2.0,vgg_tiny
