arch,width,seed,noise,params
resnet18,64,0,0.15,11171274
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,1.792825618057251,0.38732,1.3101844985961915,0.5382,-0.01727493293583393,-0.04827839508652687,0.009610027074813843,-0.009253444150090218,-0.003448477480560541,-0.002798354020342231,-0.00424130167812109,0.01908639818429947,0.009887667372822762,0.021175066009163857,0.018377279862761497,0.016564715653657913,-0.002295751590281725,0.002228420227766037,-0.01959570311009884,-0.003268505446612835,-0.06369403749704361
2,1.5161260745239258,0.52048,1.1663265865325927,0.5872,-0.01437408197671175,-0.04827731102705002,0.014076167717576027,-0.0068660918623209,0.0011513115605339408,0.004586329683661461,0.004877388011664152,0.03736957162618637,0.013005630113184452,0.03773612156510353,0.008519941940903664,0.02427869476377964,0.009508403949439526,0.013743830844759941,0.009574461728334427,0.007661472074687481,-0.17085795104503632
3,1.3795867808914184,0.585,0.9997653945922852,0.6627,-0.021661750972270966,-0.0537726953625679,0.024147197604179382,0.0012815601658076048,0.009037342853844166,0.007904140278697014,0.010291611775755882,0.04743114486336708,-0.002026401227340102,0.04549935460090637,0.01953999698162079,0.030809205025434494,0.026550741866230965,0.03310517966747284,-0.09702950716018677,0.0031992606818675995,-0.26410380005836487
4,1.2849884873580932,0.6272,0.8306005945205689,0.7323,-0.018778381869196892,-0.04959897696971893,0.02500821277499199,-0.00018001720309257507,0.004408497363328934,0.00729138869792223,0.012639766559004784,0.03441966325044632,0.004001059103757143,0.034348517656326294,0.02327120676636696,0.022863240912556648,0.01531591359525919,0.02748279646039009,-0.05038050189614296,-0.001086824806407094,-0.20055487751960754
5,1.220064327507019,0.65312,0.7883717761993408,0.756,-0.020632639527320862,-0.056265924125909805,0.016071854159235954,0.013328306376934052,0.015835179015994072,0.011912905611097813,0.012349634431302547,0.039597973227500916,0.0061985524371266365,0.03037438727915287,0.006184971425682306,0.012708444148302078,0.007442406378686428,0.02343626879155636,-0.06100675091147423,0.01816859096288681,-0.24763616919517517
6,1.1688390159606934,0.67626,0.7015008756637573,0.7914,-0.01656416431069374,-0.04701170697808266,0.021426059305667877,0.025769375264644623,0.01250255573540926,0.017632775008678436,0.018859507516026497,0.0333353728055954,-0.005370989441871643,0.021565712988376617,-0.00137717230245471,0.001467729452997446,0.008924992755055428,0.013873899355530739,-0.06525567919015884,0.00778872799128294,-0.27050185203552246
7,1.126223048362732,0.69402,0.7416685736656189,0.7854,-0.013927256688475609,-0.04110687971115112,0.020565323531627655,0.027286086231470108,0.011953356675803661,0.01965349353849888,0.008393855765461922,0.0338616743683815,-0.010318174958229065,0.02573244832456112,-0.01620400883257389,-0.010839767754077911,-0.008117672987282276,-0.013773075304925442,-0.03785928711295128,0.003210658673197031,-0.22562140226364136
8,1.0979221511459352,0.70472,0.7317855005264282,0.7939,-0.015436605550348759,-0.04791524261236191,0.02148028276860714,0.028230322524905205,0.01678370125591755,0.015198010951280594,0.0149174053221941,0.026856742799282074,-0.007455484475940466,-2.4916924303397536e-05,-0.023337004706263542,-0.020364396274089813,-0.010059540160000324,-0.024631569162011147,-0.05806422233581543,0.0032864147797226906,-0.15683305263519287
9,1.0734696273040771,0.71434,0.6418847009181976,0.8231,-0.017068585380911827,-0.04630429670214653,0.016723116859793663,0.030874095857143402,0.011068633757531643,0.015754153952002525,0.01301954872906208,0.040953971445560455,-0.004334547556936741,0.027783600613474846,-0.02195693925023079,-0.013139633461833,-0.010710322298109531,-0.0223687831312418,-0.01067991741001606,-0.0021509474609047174,-0.19325260818004608
10,1.041190772781372,0.7254,0.6713646805763245,0.7979,-0.01649262197315693,-0.045058511197566986,0.0195482037961483,0.031842730939388275,0.00790462363511324,0.017083173617720604,0.0162369292229414,0.04063159599900246,-0.01084293331950903,0.01964178867638111,-0.03223235905170441,-0.005723213776946068,0.0022799756843596697,-0.0004380772588774562,-0.0556105338037014,-0.026037760078907013,-0.25521907210350037
