arch,width,seed,noise,params
simplecnn,7,1,0.1,19491
epoch,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3
1,1.8689383144378662,0.33662,1.4732269605636596,0.4579,0.2875794768333435,-0.02410140074789524,-0.11168990284204483,-0.12322080135345459
2,1.5756508013916015,0.46976,1.3155827348709106,0.5406,0.09333103150129318,-0.02318757027387619,0.14057007431983948,-0.007397878915071487
3,1.4562293714523316,0.53038,1.209852939414978,0.5766,0.23000682890415192,-0.035477858036756516,0.03762662038207054,-0.05095900222659111
4,1.392397102584839,0.55922,1.3141599067687988,0.5504,0.23380635678768158,-0.11820270121097565,0.17146863043308258,0.04754616692662239
5,1.3452811852645874,0.57978,1.1238739074707031,0.6078,0.2073448747396469,0.010737738572061062,0.07945922017097473,-0.04053928703069687
6,1.317021763305664,0.59418,1.136643056678772,0.5995,0.26104938983917236,-0.0012017861008644104,-0.02682199515402317,-0.09410247206687927
7,1.2946824562454224,0.60542,1.0428632263183595,0.6499,0.21550601720809937,0.034809570759534836,0.05759182572364807,-0.01049093808978796
8,1.2749771538162231,0.6133,1.0693989140510558,0.6378,0.2058558166027069,0.03648533299565315,-0.004039437044411898,-0.059184834361076355
9,1.2536168291091918,0.62274,1.0239523332595826,0.653,0.24216365814208984,-0.006537304259836674,0.003163880668580532,-0.08646716922521591
10,1.243275283164978,0.62884,0.9876639918327331,0.6703,0.28621605038642883,-0.06272371113300323,0.030227908864617348,-0.08468569815158844
11,1.2267928283691407,0.63538,1.0704916648864746,0.6319,0.13826385140419006,0.07506194710731506,0.015484204515814781,-0.04338855668902397
12,1.2173481924247742,0.64034,0.9832309576988221,0.6727,0.17901265621185303,0.018248384818434715,0.02731296420097351,-0.0716543197631836
13,1.2064162398529052,0.64418,0.9590591582298279,0.6843,0.3052424490451813,-0.0981011763215065,0.0679190382361412,-0.03248542547225952
14,1.1955497626495362,0.64888,1.1650551918029786,0.6103,0.23905518651008606,-0.005104266572743654,0.01406279020011425,-0.13148769736289978
15,1.192855290298462,0.65396,0.9042897965431214,0.7055,0.29730159044265747,-0.03656107559800148,-0.015286755748093128,-0.06627462804317474
16,1.1799941013336182,0.65752,0.8965327170372009,0.709,0.2508436441421509,-0.005883136764168739,-0.00023520283866673708,-0.02164805866777897
17,1.1732909786224366,0.65834,0.9161612493515014,0.7065,0.3281877040863037,-0.060282476246356964,-0.004390766844153404,-0.04844231531023979
18,1.1675416728591919,0.66226,0.9177446824073792,0.7005,0.29498419165611267,-0.024150585755705833,-0.037587154656648636,-0.08876551687717438
19,1.1643528330230712,0.66628,0.8895268967628479,0.709,0.2821090817451477,-0.05725066363811493,0.04241833835840225,-0.04765227437019348
20,1.1553616577529908,0.66852,0.8903346720695495,0.7142,0.2549174129962921,-0.016516709700226784,-0.02253638580441475,-0.09147988259792328
21,1.1570964743423462,0.66704,0.8546833132743835,0.7187,0.22794561088085175,-0.001248292624950409,-0.0011230194941163063,-0.03183213993906975
22,1.1460959579467773,0.67446,0.870111944103241,0.719,0.1824716180562973,0.02229008823633194,-0.0021988674998283386,-0.08020438998937607
23,1.1425334465789796,0.67234,0.8670091849327087,0.729,0.2974989712238312,-0.0439816415309906,-0.07493145763874054,-0.03950904682278633
24,1.1410613604736328,0.67328,0.8438428974151612,0.7352,0.21859945356845856,-0.005543453618884087,-0.021687423810362816,-0.08118506520986557
25,1.1349148239135742,0.67702,0.8526591979026794,0.7291,0.2947315275669098,-0.06992858648300171,-0.006918171886354685,-0.06563926488161087
26,1.128884769859314,0.6793,0.8834803666114807,0.7171,0.14813931286334991,0.026985395699739456,-0.03021726757287979,-0.05971090495586395
27,1.129596403427124,0.67826,0.8241589172363282,0.7357,0.23157043755054474,-0.0067387912422418594,-0.05094543844461441,-0.06930295377969742
28,1.1287148387527466,0.67898,0.8969659573554992,0.7185,0.3037877082824707,-0.06358681619167328,-0.06124255061149597,-0.06795287877321243
29,1.1243437707901,0.6813,0.8403894580841065,0.7334,0.18369092047214508,0.009108969010412693,0.00017449946608394384,-0.03803589567542076
30,1.1190192603874207,0.68328,0.8050310403823853,0.7455,0.22948285937309265,-0.02925572544336319,0.005997916683554649,-0.039333876222372055
31,1.119233546180725,0.6848,0.8079334570884704,0.7444,0.22637353837490082,-0.011089947074651718,-0.048345886170864105,-0.052219487726688385
32,1.1133279272079468,0.68376,0.8124542708873749,0.7453,0.2585107684135437,-0.027648963034152985,-0.04750458151102066,-0.0623418390750885
33,1.111515350227356,0.68768,0.8242232995986939,0.7395,0.24430876970291138,-0.03218940645456314,-0.016994085162878036,-0.02999207191169262
34,1.1105498220443726,0.68548,0.8330866113662719,0.7404,0.2822208106517792,-0.02932731807231903,-0.08532339334487915,-0.07532476633787155
35,1.105441245956421,0.6886,0.8150341128349304,0.7443,0.28376778960227966,-0.05334705859422684,-0.07557334005832672,-0.0779491513967514
