arch,width,seed,noise,params
transformer,96,0,0.0,7742720
epoch,train_loss,train_acc,test_loss,test_acc,p_enc_layer0,p_dec_layer0,p_enc_layer1,p_dec_layer1,p_enc_layer2,p_dec_layer2,p_enc_layer3,p_dec_layer3,p_enc_layer4,p_dec_layer4,p_enc_layer5,p_dec_layer5
1,6.10981671030796,0.24726878574284064,4.77275502189339,0.3920220621140249,-0.7973838448524475,-0.16792207956314087,-0.44574296474456787,-0.19522427022457123,-0.40752437710762024,-0.3123704195022583,-0.3619324564933777,-0.3815014362335205,-0.3019327223300934,-0.3885263204574585,-0.6224486827850342,-0.3338276147842407
2,4.382293689405215,0.44375936206156025,3.97948543651245,0.5080663205942898,-2.685690402984619,-0.7979711890220642,-1.9254546165466309,-0.7846864461898804,-2.1113693714141846,-1.0917316675186157,-1.5624676942825317,-1.0990407466888428,-1.1529324054718018,-0.7452348470687866,-1.5686360597610474,-0.9182743430137634
3,3.852847010233815,0.5188602414487848,3.7181388767365964,0.5451367135057729,-3.4273250102996826,-1.0762348175048828,-2.706787109375,-1.3331646919250488,-2.778437852859497,-1.4257835149765015,-2.195258378982544,-1.4134066104888916,-1.6414344310760498,-0.9220486283302307,-2.0961852073669434,-1.2042255401611328
4,3.634150623850546,0.5506097368162594,3.6074189830677774,0.561291730063546,-3.6946403980255127,-1.0875495672225952,-2.887767791748047,-1.5145536661148071,-2.9644625186920166,-1.576064109802246,-2.354477882385254,-1.5261270999908447,-1.951894998550415,-1.0076487064361572,-2.2462785243988037,-1.1263062953948975
5,3.50678577539931,0.5693473670631759,3.540442721517289,0.5717242459500582,-3.859060049057007,-1.2084146738052368,-3.058358907699585,-1.470000982284546,-3.2479186058044434,-1.6995035409927368,-2.66615629196167,-1.6956437826156616,-2.108144760131836,-0.8879733681678772,-2.4184727668762207,-0.9473955035209656
6,3.419464065141068,0.5823271920233822,3.4948627849508824,0.5805009845162445,-4.097864627838135,-1.121546745300293,-3.180640935897827,-1.597801685333252,-3.3254334926605225,-1.7221590280532837,-2.7755801677703857,-1.7193297147750854,-2.337707281112671,-0.9729028344154358,-2.531346559524536,-1.2265125513076782
7,3.353259843891738,0.5923890588506545,3.4692410843394006,0.584232077329276,-4.218897819519043,-1.1931394338607788,-3.304281711578369,-1.6387214660644531,-3.494133710861206,-1.753503680229187,-2.8790805339813232,-1.8740780353546143,-2.3111062049865723,-0.9256035089492798,-2.545069456100464,-1.2499250173568726
8,3.3013001574590146,0.6004432850420407,3.450405739403172,0.5865982726214982,-4.349051475524902,-1.2385302782058716,-3.375871419906616,-1.6020572185516357,-3.6107561588287354,-1.9010193347930908,-2.967179298400879,-1.8978309631347656,-2.4803173542022705,-0.8770756721496582,-2.559807300567627,-1.199441909790039
9,3.259887037562875,0.6069405269705903,3.4387456332384647,0.5896357289895283,-4.485851287841797,-1.2341586351394653,-3.3922929763793945,-1.8038289546966553,-3.6831765174865723,-2.0946738719940186,-3.0404396057128906,-1.9423835277557373,-2.5142135620117188,-1.0724453926086426,-2.7147622108459473,-1.4141665697097778
10,3.2232366039943927,0.6128855473119038,3.4327077546491944,0.5897699812046899,-4.557591438293457,-1.1433292627334595,-3.4567039012908936,-1.8031209707260132,-3.7237367630004883,-2.0997438430786133,-3.1128902435302734,-1.8867919445037842,-2.4953911304473877,-1.1631765365600586,-2.728316307067871,-1.4158978462219238
11,3.1914610686203835,0.6180316577725555,3.427883900383918,0.5914257585250157,-4.6419677734375,-1.168123722076416,-3.528620481491089,-1.9093894958496094,-3.796436071395874,-2.211794376373291,-3.144465208053589,-1.9531428813934326,-2.6423115730285645,-1.301529884338379,-2.7666707038879395,-1.5427144765853882
12,3.1633709836190653,0.6225742405068461,3.4222593379046833,0.5921977087621946,-4.693319320678711,-1.130761981010437,-3.519150972366333,-1.9590235948562622,-3.9037575721740723,-2.2801191806793213,-3.1501624584198,-2.0488758087158203,-2.6246514320373535,-1.2973681688308716,-2.8225855827331543,-1.5450485944747925
13,3.1391893938808892,0.626428902151235,3.426343714470436,0.5931934126913094,-4.7802300453186035,-1.0242308378219604,-3.631760358810425,-1.9819140434265137,-3.977135419845581,-2.1735551357269287,-3.2478854656219482,-1.9902191162109375,-2.7138774394989014,-1.2860467433929443,-2.854789972305298,-1.487181305885315
