arch,width,seed,noise,params
basenet18,12,3,0.25,388966
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.4340507984161377,0.15625,2.3031396965026856,0.1144,0.11642488837242126,0.23365572094917297,0.24472080171108246,-0.05631611496210098,0.12535284459590912,-0.028642334043979645,0.023627828806638718,-0.02182726375758648,-0.0066454908810555935,0.07975692301988602,0.017050154507160187,-0.003739851526916027,-0.044290561228990555,0.004062536638230085,-0.0016925137024372816,-0.009649637155234814,-0.007361391559243202
1000,2.0946316719055176,0.2734375,1.7152730548858643,0.3892,0.03795357048511505,0.012506230734288692,0.006121662445366383,-0.009367527440190315,-0.023195872083306313,0.02505778893828392,-0.008991536684334278,0.01956295035779476,-0.0010274878004565835,-0.003779752179980278,-0.004840357229113579,0.00491563742980361,0.0054491497576236725,0.006720178760588169,-0.003692133817821741,-0.011733911000192165,4.774579429067671e-05
2000,1.8123342990875244,0.3984375,1.5126053144454956,0.4817,0.011103070341050625,0.011199058964848518,0.018980959430336952,0.013736370019614697,-0.019881276413798332,0.04415248706936836,-0.005063178949058056,0.052930574864149094,0.0028415056876838207,-0.011989643797278404,0.007379360496997833,0.019608495756983757,0.00723675824701786,0.004673737101256847,0.0024625989608466625,0.008390380069613457,0.009702179580926895
3000,1.8115243911743164,0.453125,1.4334949380874633,0.525,-0.0034102988429367542,0.02380647510290146,0.050006840378046036,0.04678468033671379,0.015361305326223373,0.05519360303878784,0.0019799270667135715,0.05877702310681343,0.03959852084517479,0.01759936474263668,0.04478342831134796,0.017419762909412384,0.008460313081741333,0.013953101821243763,-0.024922441691160202,-0.03838355839252472,-0.014427718706429005
4000,1.7067686319351196,0.4296875,1.3179838024139405,0.5638,0.03727002441883087,-0.004628232680261135,0.06703920662403107,0.05095645785331726,0.03213761746883392,0.05629351735115051,-0.0011168989585712552,0.05373677611351013,0.03614415228366852,0.022640664130449295,0.01162889413535595,-0.0008597003761678934,-0.012719784863293171,0.009203596971929073,-0.030023956671357155,-0.07952849566936493,-0.05615261197090149
5000,1.7584587335586548,0.4375,1.2318294393539428,0.6082,0.056912049651145935,-0.019316285848617554,0.07019256800413132,0.04822886735200882,0.031703606247901917,0.06316204369068146,-0.007405312731862068,0.08005814254283905,0.05190417915582657,0.02594042755663395,0.03566623851656914,0.011841843836009502,0.0014323865761980414,0.015118064358830452,-0.029292935505509377,-0.049535732716321945,-0.027412863448262215
6000,1.6215265989303589,0.4921875,1.171224925994873,0.6315,0.10238528996706009,-0.03786686807870865,0.08284266293048859,0.05994649976491928,0.042323146015405655,0.03879594802856445,0.02645024098455906,0.06222173571586609,0.052137769758701324,0.02386992797255516,0.02461923286318779,0.01753678172826767,0.02056911215186119,0.013766984455287457,-0.003172876313328743,-0.03905048593878746,-0.045822516083717346
7000,1.5906623601913452,0.5078125,1.1034745779037476,0.6633,0.08258603513240814,-0.029360154643654823,0.08756217360496521,0.05269578471779823,0.050095465034246445,0.06492975354194641,0.01897692307829857,0.06569958478212357,0.04895912855863571,0.0269999448210001,0.03670405223965645,0.012359919026494026,0.02540544793009758,0.015845824033021927,-0.017154835164546967,-0.03186911344528198,-0.03265343979001045
8000,1.6991655826568604,0.4609375,1.047447988128662,0.6861,0.10247296094894409,-0.0243383701890707,0.10353545844554901,0.05565565451979637,0.07012680172920227,0.07050545513629913,0.015477818436920643,0.07456763088703156,0.08763331174850464,0.029676426202058792,0.04725661873817444,0.020262520760297775,0.012682195752859116,0.014562859199941158,-0.02693089097738266,-0.06938133388757706,-0.0440082773566246
9000,1.483950138092041,0.5546875,1.0443107131958007,0.6937,0.13863521814346313,-0.04459594935178757,0.11000748723745346,0.05412047356367111,0.07317651808261871,0.07760724425315857,-0.0007731930236332119,0.0864134132862091,0.10806216299533844,0.03740575164556503,0.04367164522409439,0.02275281958281994,0.013371864333748817,0.010039296001195908,-0.05447279289364815,-0.08282063156366348,-0.022431788966059685
10000,1.3689954280853271,0.5703125,0.9893881589889526,0.7192,0.14297416806221008,-0.03452037274837494,0.10635299235582352,0.04009799659252167,0.07195868343114853,0.08492706716060638,-0.0019662415143102407,0.07647232711315155,0.07246352732181549,0.045057620853185654,0.04086482152342796,-0.0019728243350982666,0.02220594696700573,0.013265813700854778,-0.034069959074258804,-0.05269203335046768,-0.022056445479393005
11000,1.4622292518615723,0.59375,0.935635401916504,0.731,0.11717204749584198,0.013994542881846428,0.1005706638097763,0.06193184107542038,0.08122571557760239,0.07269293069839478,0.00636492483317852,0.07015172392129898,0.0929800420999527,0.04623079672455788,0.035964205861091614,0.007088441401720047,0.01011449471116066,0.015782268717885017,-0.04398409649729729,-0.057520363479852676,-0.040554825216531754
12000,1.3271054029464722,0.6328125,0.9121634667396545,0.7497,0.15956364572048187,-0.015161274001002312,0.09959748387336731,0.03652670234441757,0.07667163759469986,0.07211974263191223,0.01994013786315918,0.06857355684041977,0.0895325243473053,0.039919208735227585,0.02930380031466484,0.00848810188472271,0.023379990831017494,0.012538356706500053,-0.03878258168697357,-0.06606721132993698,-0.04506691172719002
13000,1.5055725574493408,0.578125,0.8767333766937256,0.757,0.1390143185853958,-0.005339215975254774,0.09622155129909515,0.03726237267255783,0.08704887330532074,0.091093048453331,0.002749210689216852,0.07663071155548096,0.08247509598731995,0.03515581414103508,0.03059098683297634,0.008964041247963905,0.023644380271434784,0.010848716832697392,-0.043074771761894226,-0.05082963407039642,-0.025848688557744026
14000,1.4073681831359863,0.5625,0.8718235144615173,0.7624,0.16505827009677887,-0.011752159334719181,0.1076589822769165,0.04778284952044487,0.08740854263305664,0.08903444558382034,-0.004407844971865416,0.07880699634552002,0.08635927736759186,0.0340036004781723,0.0248857531696558,-0.0025679664686322212,0.011674218811094761,0.014095191843807697,-0.0656396746635437,-0.05762229114770889,-0.02866574190557003
15000,1.3725861310958862,0.6328125,0.8451042200088501,0.7726,0.14304038882255554,-0.0012233627494424582,0.10122998803853989,0.047535862773656845,0.08386723697185516,0.0962330773472786,-0.0027931886725127697,0.08866233378648758,0.09985361248254776,0.033098187297582626,0.022920018061995506,0.0019012975972145796,0.01498093269765377,0.004163481295108795,-0.05609555542469025,-0.06460851430892944,-0.03282850980758667
16000,1.3653202056884766,0.640625,0.8409387338638306,0.7697,0.16222243010997772,0.0109247462823987,0.11278516799211502,0.035941723734140396,0.08508922904729843,0.10278584808111191,-0.007120836526155472,0.09368884563446045,0.09805626422166824,0.02944970689713955,0.01382523961365223,-0.007538831792771816,0.008275676518678665,-0.0029629161581397057,-0.05745923891663551,-0.06983356177806854,-0.018272237852215767
17000,1.4205645322799683,0.6015625,0.8184394392967224,0.7785,0.13216181099414825,0.03936246410012245,0.10969962924718857,0.048300083726644516,0.09521730244159698,0.09870901703834534,0.00410087313503027,0.09788534045219421,0.0971786305308342,0.041137635707855225,0.00806689728051424,-0.020863907411694527,0.009104992263019085,0.0014619764406234026,-0.060306038707494736,-0.06876413524150848,-0.034934334456920624
18000,1.545456886291504,0.59375,0.8094412117004395,0.7835,0.18742252886295319,0.03268919512629509,0.12090551853179932,0.04169464483857155,0.11110781133174896,0.09821514040231705,0.0029866392724215984,0.09521656483411789,0.10607954859733582,0.022451037541031837,-0.0007004613289609551,-0.012780189514160156,0.0035014203749597073,0.003927752375602722,-0.06503705680370331,-0.08437074720859528,-0.04288315400481224
19000,1.378299593925476,0.6171875,0.8116810338020325,0.7826,0.18043546378612518,0.028630373999476433,0.11332330107688904,0.0413239561021328,0.10560672730207443,0.10231664776802063,0.003026468213647604,0.09122403711080551,0.09896744787693024,0.027502022683620453,-0.004024031106382608,-0.025090472772717476,-0.008599935099482536,-0.0011741726193577051,-0.0829385370016098,-0.06762119382619858,-0.053408123552799225
20000,1.3241194486618042,0.6171875,0.7974521787643433,0.7929,0.17408834397792816,-0.001658156281337142,0.10012385994195938,0.05990966781973839,0.09329432994127274,0.10385306179523468,0.007507636211812496,0.09958585351705551,0.08844485878944397,0.01675579883158207,0.0005821397644467652,-0.020810263231396675,-0.006022921297699213,-0.010688964277505875,-0.06364990025758743,-0.06070191040635109,-0.009306266903877258
21000,1.3004976511001587,0.6875,0.8033975043296814,0.7863,0.18534545600414276,0.017175540328025818,0.10285302996635437,0.057665470987558365,0.10138429701328278,0.10169854015111923,0.002907614456489682,0.08175846934318542,0.09192779660224915,0.01817583478987217,-0.006836981978267431,-0.012201422825455666,-0.008833215571939945,-0.011189645156264305,-0.0748201385140419,-0.06621216982603073,-0.021219683811068535
22000,1.5782394409179688,0.578125,0.7714496355056762,0.7987,0.16831372678279877,0.013057969510555267,0.10004941374063492,0.06100749969482422,0.09410881251096725,0.10693672299385071,0.0034336717799305916,0.1072205975651741,0.09403275698423386,0.013798757456243038,-0.018333207815885544,-0.03426095470786095,-0.017191123217344284,-0.024178627878427505,-0.0640268549323082,-0.0815892443060875,-0.013016417622566223
23000,1.298690676689148,0.65625,0.7816344081878662,0.7945,0.15251286327838898,0.02803119271993637,0.09319648146629333,0.04882471263408661,0.09202343225479126,0.11424267292022705,-0.0011277287267148495,0.09427163749933243,0.08794303983449936,0.01228078082203865,-0.02105570025742054,-0.024774493649601936,-0.018715552985668182,-0.018790172412991524,-0.07298237085342407,-0.07189849019050598,-0.0062124659307301044
24000,1.464739203453064,0.578125,0.7751392030715942,0.7986,0.14109762012958527,0.04139209911227226,0.10453464835882187,0.04434364661574364,0.09733125567436218,0.1096837967634201,0.006907113362103701,0.10161472111940384,0.0963638424873352,0.011444120667874813,-0.024563800543546677,-0.044194094836711884,-0.02168419398367405,-0.025650091469287872,-0.07912708818912506,-0.08337884396314621,-0.0217512808740139
25000,1.1768869161605835,0.671875,0.763117855167389,0.7968,0.19013988971710205,0.01619289070367813,0.10223604738712311,0.041592925786972046,0.1034156009554863,0.10794252157211304,0.0033486387692391872,0.08523453027009964,0.08467193692922592,0.00991620309650898,-0.025173574686050415,-0.04987163841724396,-0.02308720536530018,-0.023349052295088768,-0.08800673484802246,-0.07383012026548386,-0.01976964622735977
