arch,width,seed,noise,params
basenet18,4,0,0,43838
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.4396779537200928,0.1171875,2.303323787689209,0.1,0.09118809551000595,-0.38790950179100037,-0.06665719300508499,3.5628152545541525e-05,-0.000330201699398458,0.0013134294422343373,0.010340769775211811,0.004084362648427486,0.0064565702341496944,0.001526189036667347,3.64098850695882e-05,0.0011357206385582685,-0.008286932483315468,0.0041276561096310616,0.0025984435342252254,-0.0012218800839036703,-0.0034346217289566994
1000,1.7913259267807007,0.359375,1.9221489582061768,0.3001,0.2058383971452713,0.26943713426589966,0.11707868427038193,0.015992239117622375,0.12318973243236542,0.055215492844581604,-0.00863646063953638,-0.17683587968349457,0.1627209186553955,0.15291167795658112,0.09748512506484985,-0.007549886591732502,0.0617399737238884,0.06964002549648285,-0.014019010588526726,0.05433771759271622,0.11029937118291855
2000,1.531382441520691,0.40625,1.5142966459274292,0.4416,0.04946592450141907,-0.02649138681590557,0.07983673363924026,0.0810997262597084,0.13023951649665833,0.05042432248592377,0.09002049267292023,-0.01840055361390114,0.11217060685157776,0.052898429334163666,0.05323442071676254,0.051669687032699585,0.04581604152917862,0.03403513878583908,-0.004906016401946545,0.03503575548529625,0.09996822476387024
3000,1.50914466381073,0.4453125,1.3816929277420045,0.4944,0.0817207396030426,0.11931858956813812,0.0967865139245987,0.1186358630657196,0.15338319540023804,0.03590445592999458,0.07076500356197357,-0.03650358319282532,0.1147250086069107,0.109770268201828,0.05091485381126404,0.052145034074783325,0.040581196546554565,0.026118643581867218,-0.0013412629486992955,0.021450433880090714,0.13192608952522278
4000,1.4271233081817627,0.484375,1.326911580467224,0.5197,0.1720253825187683,0.1295313686132431,0.1411108672618866,0.15036077797412872,0.13791990280151367,0.03818704932928085,0.11275952309370041,-0.018702451139688492,0.20091336965560913,0.10510889440774918,0.1047150269150734,0.08106239140033722,0.07331383228302002,0.02641626074910164,0.0030899071134626865,0.040593087673187256,0.14540496468544006
5000,1.2815170288085938,0.515625,1.2157974536895753,0.5675,0.1172090545296669,0.19184155762195587,0.1664746254682541,0.20043909549713135,0.13449890911579132,0.037492137402296066,0.07895313948392868,0.02788868546485901,0.20292620360851288,0.14895451068878174,0.061673685908317566,0.06666896492242813,0.06640920788049698,0.028189104050397873,0.0024991650134325027,-0.005384157877415419,0.1897600293159485
6000,1.0875917673110962,0.6328125,1.1479812505722047,0.5857,0.11586499214172363,0.18206298351287842,0.21188390254974365,0.22994476556777954,0.17658178508281708,0.07243058830499649,0.11301709711551666,0.0673787072300911,0.26044315099716187,0.16646838188171387,0.09008863568305969,0.07359521090984344,0.06816171854734421,0.02728799730539322,0.0031164728570729494,0.008291562087833881,0.19761213660240173
7000,1.0697649717330933,0.625,1.136043790626526,0.5918,0.26407232880592346,0.1621677577495575,0.2576373219490051,0.19472794234752655,0.16060402989387512,0.1033412292599678,0.14502492547035217,0.09824304282665253,0.25288325548171997,0.14394018054008484,0.09954480826854706,0.09696205705404282,0.07822708040475845,0.038019854575395584,-0.006516939029097557,0.03263254091143608,0.18543386459350586
8000,0.9927680492401123,0.6328125,1.051216826248169,0.6212,0.2548322081565857,0.15045993030071259,0.26538151502609253,0.23934873938560486,0.19834890961647034,0.12461936473846436,0.14551767706871033,0.14538976550102234,0.27305513620376587,0.15303286910057068,0.08650922775268555,0.08668360114097595,0.097609743475914,0.04248401150107384,6.359233520925045e-05,0.008459383621811867,0.20980581641197205
9000,1.001145362854004,0.6328125,1.057883737373352,0.622,0.3086548149585724,0.1625146120786667,0.29333966970443726,0.18875616788864136,0.1753837764263153,0.1561591625213623,0.14884938299655914,0.15790708363056183,0.27895015478134155,0.13341307640075684,0.09929802268743515,0.1323777288198471,0.13009394705295563,0.047738466411828995,-0.027714990079402924,0.010301084257662296,0.20336546003818512
