arch,width,seed,noise,params
basenet18,12,3,0,388966
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.429037570953369,0.1171875,2.3032691486358643,0.1144,0.11830946803092957,0.23309583961963654,0.24630135297775269,-0.05841519311070442,0.1268918663263321,-0.029073862358927727,0.023206401616334915,-0.022257599979639053,-0.007131644058972597,0.08132101595401764,0.017591774463653564,-0.004030829761177301,-0.04566345363855362,0.004276019986718893,-0.0015155421569943428,-0.009954418987035751,-0.00774722546339035
1000,1.6115130186080933,0.40625,1.6540003210067749,0.4084,-0.030504746362566948,0.007503049913793802,-0.0223808903247118,0.08439718186855316,0.052982479333877563,-0.04558227211236954,-0.015536579303443432,-0.044260624796152115,-0.022318605333566666,0.00038363091880455613,0.0033449174370616674,-0.005100230686366558,0.0062581757083535194,0.018508926033973694,0.01521389838308096,0.028156328946352005,0.04279101639986038
2000,1.2053899765014648,0.546875,1.315460742378235,0.5266,0.002523066010326147,-0.018201712518930435,-0.0042511229403316975,0.08905402570962906,0.0881279706954956,-0.01069568656384945,0.0006501198513433337,-0.0069056423380970955,0.022213347256183624,0.04421130567789078,0.02503281459212303,-0.017081795260310173,-0.0320032499730587,-0.0014559051487594843,-0.025170495733618736,-0.014568528160452843,0.02687489613890648
3000,1.1097595691680908,0.625,1.1405324266433716,0.5924,-0.010707011446356773,-6.12884177826345e-05,0.05811099708080292,0.11842216551303864,0.09540435671806335,-0.048174817115068436,0.006854896433651447,0.0011051881592720747,0.02925436571240425,0.05138867720961571,0.0033641248010098934,-0.0038120364770293236,-0.013680467382073402,0.004848957527428865,-0.030372601002454758,-0.043344441801309586,0.036056771874427795
4000,1.0829482078552246,0.6484375,1.0688255563735962,0.6199,0.050663866102695465,-0.043964315205812454,0.03771623969078064,0.09481346607208252,0.07372862845659256,-0.013302364386618137,0.000760410213842988,0.04814586043357849,0.06966308504343033,0.03450649231672287,0.03540632873773575,-0.006665698252618313,-0.001163950888440013,0.03171129897236824,0.0005429179291240871,-0.016399560496211052,0.03552255406975746
5000,0.9384567141532898,0.625,0.9141000062942505,0.6755,0.022819535806775093,-0.01582350954413414,0.0716472715139389,0.11994856595993042,0.10151371359825134,-0.04416961595416069,0.010895504616200924,0.039671555161476135,0.07379872351884842,0.05895303189754486,0.017276525497436523,-0.01178207341581583,-0.004904823377728462,0.013627811335027218,-0.027051717042922974,-0.04402546212077141,0.04583866149187088
6000,0.7577394843101501,0.765625,0.8399702285766601,0.7026,0.11279326677322388,-0.018324220553040504,0.07936374843120575,0.10837854444980621,0.1166645735502243,0.0018587817903608084,0.02421935461461544,0.06173271685838699,0.0989069938659668,0.06901390105485916,0.018313705921173096,-0.0010111210867762566,-0.00736945029348135,0.014234840869903564,-0.02736499346792698,-0.030145391821861267,0.04180268943309784
7000,0.9462323784828186,0.6640625,0.7771332576751709,0.7288,0.079886794090271,-0.019686248153448105,0.09922556579113007,0.15494363009929657,0.11550228297710419,0.0022257352247834206,0.0401168130338192,0.058664966374635696,0.09105661511421204,0.0797276422381401,0.026459403336048126,0.017558056861162186,-0.007217647973448038,0.020480651408433914,-0.029851742088794708,-0.03830927982926369,0.05306995287537575
8000,0.8360803127288818,0.65625,0.7590759862899781,0.7307,0.1345374882221222,-0.031961988657712936,0.096597820520401,0.17356672883033752,0.13756100833415985,0.04405329376459122,0.0271071195602417,0.10432535409927368,0.12628330290317535,0.0737333670258522,0.046445176005363464,0.010123159736394882,-0.024359116330742836,0.02547721192240715,-0.022112498059868813,-0.03226626291871071,0.04599348455667496
9000,0.6430485248565674,0.78125,0.7120506222724915,0.7529,0.1059001237154007,0.02384733036160469,0.08967083692550659,0.16482704877853394,0.1492406129837036,0.041259877383708954,0.051115479320287704,0.09745368361473083,0.10975279659032822,0.07951211929321289,0.046097900718450546,0.014630571007728577,-0.007773338817059994,0.02947760745882988,-0.03742270916700363,-0.039522670209407806,0.05886440724134445
