arch,width,seed,noise,params
basenet18,64,1,0.25,11000138
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.3337297439575195,0.1484375,2.3062805084228515,0.1044,0.019900508224964142,-0.15570077300071716,0.05169002711772919,0.0278470516204834,-0.028614342212677002,0.06897670030593872,-0.001104727853089571,-0.018785515800118446,-0.013865696266293526,0.002831648103892803,-0.0307417344301939,-0.01921713538467884,-0.013915186747908592,-0.0034085691440850496,0.0012604835210368037,0.001159477629698813,-0.0011437329230830073
1000,1.7852778434753418,0.4296875,1.4875177291870116,0.4965,-0.007196072954684496,-0.007187682669609785,0.003973109181970358,0.004124809522181749,-0.008578152395784855,0.01726614125072956,0.03522726148366928,0.010625222697854042,-0.004300132859498262,-0.0036331918090581894,0.0018986735958606005,-0.0020661666058003902,-0.003525724168866873,0.0010229444596916437,-0.006726393476128578,-0.010932950302958488,-0.020135387778282166
2000,1.6712931394577026,0.4765625,1.2624851259231566,0.5897,-0.008257612586021423,0.006472806911915541,-0.0011288451496511698,-0.002283357083797455,0.0015705288387835026,0.019556300714612007,0.057462938129901886,0.021586567163467407,0.020162245258688927,0.0116678886115551,0.0170738622546196,-0.0067425938323140144,0.009317316114902496,0.0018205948872491717,-0.02100123092532158,-0.02752171829342842,-0.041180599480867386
3000,1.5946593284606934,0.5078125,1.071811852836609,0.6666,0.0022911764681339264,-0.001246097730472684,0.008566135540604591,-0.003814664203673601,0.0055512841790914536,0.022768117487430573,0.05211129039525986,0.02465040050446987,0.03361671045422554,0.010024855844676495,0.009718725457787514,-0.014137749560177326,-0.006930560804903507,-0.009474403224885464,-0.048234306275844574,-0.06113427132368088,-0.07090511918067932
4000,1.4798665046691895,0.5390625,0.9747094598770142,0.7091,-0.002291684737429023,-0.006650801282376051,0.009543676860630512,0.0015870356000959873,0.00576613238081336,0.022913740947842598,0.05938958376646042,0.026257146149873734,0.02139224112033844,0.005644297227263451,0.021605273708701134,0.0024660576600581408,0.0018880311399698257,0.003801550716161728,-0.03847146034240723,-0.044586312025785446,-0.06965067237615585
5000,1.4206385612487793,0.5625,0.9557790664672852,0.7294,0.0022097548935562372,-0.005229639820754528,0.025417599827051163,-0.0054427520371973515,0.013379808515310287,0.024072634056210518,0.049800269305706024,0.015470605343580246,0.03001254051923752,-4.790272214449942e-05,-0.005307408981025219,-0.0221721138805151,-0.0034833496902137995,0.004816114436835051,-0.04855364188551903,-0.05092562362551689,-0.08594412356615067
6000,1.3361555337905884,0.6328125,0.9413791745185852,0.7295,-0.0009155252482742071,-0.02262154594063759,0.019638366997241974,-0.00035430758725851774,0.01324976235628128,0.031838126480579376,0.0633939802646637,0.020107828080654144,0.014013536274433136,0.004756472539156675,0.014491615816950798,-0.01080566830933094,0.0018081008456647396,0.007859871722757816,-0.04857435077428818,-0.05575545132160187,-0.1232704445719719
7000,1.3961021900177002,0.640625,0.809535347366333,0.7824,-0.011739609763026237,-0.008216222748160362,0.01644931733608246,0.00822514109313488,0.0107683464884758,0.029971595853567123,0.040685348212718964,0.01212222594767809,0.0033927676267921925,-0.0008886706782504916,-0.006314980331808329,-0.013952601701021194,-0.0038441363722085953,0.005587189458310604,-0.03417167440056801,-0.03664478659629822,-0.07174549251794815
8000,1.3217720985412598,0.671875,0.8354335299491882,0.7855,-0.00045966607285663486,-0.020909231156110764,0.012300490401685238,0.01031817402690649,0.011922968551516533,0.029327809810638428,0.04688671603798866,0.009278613142669201,0.005618738941848278,-0.0035041423980146646,-0.004821832291781902,-0.012462969869375229,0.00015849631745368242,0.006474582012742758,-0.0313236378133297,-0.02937786839902401,-0.05567151680588722
9000,1.3346493244171143,0.609375,0.8016607828140259,0.7901,-0.0018275062320753932,-0.010968943126499653,0.021129367873072624,0.003191320225596428,0.014216188341379166,0.030513130128383636,0.05003657937049866,0.003314749337732792,0.0017692222027108073,-0.008122159168124199,-0.008691912516951561,-0.007761157117784023,0.004590713419020176,0.01082452293485403,-0.0381690189242363,-0.03862757980823517,-0.07683036476373672
