arch,width,seed,noise,params
basenet18,64,0,0,11000138
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.4161901473999023,0.0625,2.3023376285552977,0.108,-0.01865808106958866,-0.021659890189766884,0.05134544149041176,0.00227003893814981,0.01178292091935873,0.025143276900053024,-0.00793126504868269,-0.021194621920585632,-0.025515688583254814,0.010702744126319885,0.007460772525519133,0.0016388694057241082,0.0023185231257230043,0.006746924016624689,-0.0002573477104306221,0.0002623613690957427,0.0010219671530649066
1000,1.2804036140441895,0.5625,1.2258527584075927,0.5533,-0.02408943697810173,-0.0009246475528925657,0.01717204600572586,0.026468349620699883,0.015885895118117332,0.0021529304794967175,0.012843321077525616,0.009911629371345043,0.012357554398477077,0.012133056297898293,0.02541314996778965,0.014353768900036812,0.021354518830776215,-0.0012889584759250283,-0.0021568252705037594,0.003604636760428548,0.0009554745629429817
2000,0.7114749550819397,0.734375,0.8191996477127075,0.7079,-0.028696749359369278,0.008414037525653839,0.031588420271873474,0.035309772938489914,0.036420926451683044,0.0027916263788938522,0.01153506524860859,-0.0032980211544781923,0.0006956429569981992,0.008738384582102299,0.007670623250305653,-0.002341649727895856,0.003875402268022299,0.0041352370753884315,-0.009960643947124481,-0.01601569540798664,-0.00744116073474288
3000,0.6627775430679321,0.8203125,0.720583239364624,0.7492,-0.01774948090314865,0.011475554667413235,0.015949830412864685,0.03901569917798042,0.038574445992708206,0.00986627396196127,0.0329190269112587,0.004647269379347563,0.015137911774218082,0.022723108530044556,0.012703081592917442,0.011415954679250717,0.032840337604284286,0.006633624900132418,-0.011067017912864685,-0.011244356632232666,-0.0013287204783409834
4000,0.41927146911621094,0.84375,0.5499399410247803,0.8114,0.005992356222122908,-0.0077694789506495,0.026789549738168716,0.05120757594704628,0.03725422918796539,0.013240737840533257,0.00591930141672492,-0.0008092992356978357,0.021707382053136826,0.011800521053373814,-0.002942881314083934,-1.4504184946417809e-06,0.029143769294023514,0.0012563879135996103,-0.031982000917196274,-0.04288593679666519,-0.006144013721495867
5000,0.43235424160957336,0.859375,0.46766313529014586,0.8392,-0.004645955748856068,-0.0020867791026830673,0.02968670427799225,0.04487285763025284,0.029270147904753685,0.008009837009012699,0.011219630017876625,-0.004375648219138384,0.011214464902877808,0.005772420205175877,-0.0052369264885783195,-0.0004679059493355453,0.011793497949838638,0.007660300936549902,-0.02313828468322754,-0.0184275321662426,0.0013793651014566422
6000,0.3145783245563507,0.8828125,0.4665883368968964,0.8437,-0.007005843333899975,0.023491784930229187,0.0022131914738565683,0.04000609368085861,0.036836475133895874,0.007879172451794147,0.009490515105426311,-0.006984072737395763,0.011856477707624435,0.0031658883672207594,-0.01759110577404499,-0.006327792536467314,0.013536710292100906,0.003869927953928709,-0.034873779863119125,-0.030379584059119225,0.009117468260228634
7000,0.3408268690109253,0.8828125,0.44662271709442136,0.8521,0.023777000606060028,-0.001049448736011982,0.0254660677164793,0.025107402354478836,0.028134673833847046,0.008451240137219429,0.0019626577850431204,-0.009421255439519882,0.0051423911936581135,0.0018977797590196133,-0.017603617161512375,-0.0027098285499960184,0.006057365797460079,0.012783212587237358,-0.03135589882731438,-0.019221285358071327,0.00387211749330163
8000,0.2974879741668701,0.921875,0.4083944580078125,0.8635,0.022559255361557007,-0.003252016846090555,0.026160165667533875,0.02382151409983635,0.03289274871349335,0.012316090054810047,-0.0027107715141028166,-0.019960280507802963,0.0004939893842674792,-0.0026547519955784082,-0.023429930210113525,-0.015459827147424221,0.009012686088681221,0.00952501967549324,-0.03601502627134323,-0.035329848527908325,0.022284550592303276
9000,0.18642200529575348,0.9375,0.39481670739650726,0.8733,0.013974348083138466,0.0008731554262340069,0.015934240072965622,0.019933562725782394,0.02811591513454914,0.0060233683325350285,-0.008620009757578373,-0.015195846557617188,0.0030719577334821224,-0.002984587335959077,-0.028118036687374115,-0.016663862392306328,0.0071314601227641106,0.008372034877538681,-0.030607804656028748,-0.035834137350320816,0.014344029128551483
10000,0.24741414189338684,0.921875,0.38943839559555055,0.876,0.00879791472107172,-0.007386978715658188,0.013348831795156002,0.023766864091157913,0.025778504088521004,-0.001867296639829874,-0.010266412049531937,-0.014998956583440304,-0.0035387324169278145,-0.008317910134792328,-0.021214717999100685,-0.020161403343081474,0.0024831246118992567,0.010065688751637936,-0.025776872411370277,-0.018744604662060738,0.01785159483551979
11000,0.13677901029586792,0.9609375,0.36879033699035646,0.8857,0.01252055075019598,0.0035618343390524387,0.008614841848611832,0.015997014939785004,0.021970797330141068,-0.0018776063807308674,-0.011649888940155506,-0.022389885038137436,-0.0067215850576758385,-0.013767695054411888,-0.031232833862304688,-0.01974974013864994,0.0005287377862259746,0.00939200446009636,-0.04110534116625786,-0.035828184336423874,0.0213590357452631
12000,0.18579745292663574,0.9296875,0.3560382447719574,0.8888,0.015684839338064194,-0.0002797745110001415,0.009298700839281082,0.009020100347697735,0.026921764016151428,0.0009307232685387135,-0.01484012883156538,-0.02210468053817749,-0.013371182605624199,-0.014372493140399456,-0.03125610575079918,-0.017103618010878563,-0.004222473595291376,0.008693852461874485,-0.02730073779821396,-0.020637385547161102,0.017370259389281273
13000,0.15606480836868286,0.9453125,0.3856151120185852,0.8851,0.03421492874622345,-0.02511690929532051,0.01504916325211525,0.005597533192485571,0.024395059794187546,0.008044437505304813,-0.018141770735383034,-0.025539923459291458,-0.009372335858643055,-0.016734182834625244,-0.03476281091570854,-0.029438383877277374,-0.00016373832477256656,0.011252754367887974,-0.035347990691661835,-0.025358986109495163,0.02621127851307392
14000,0.18005311489105225,0.9375,0.3616673714160919,0.8915,0.02225101739168167,-0.008465188555419445,0.013442602008581161,0.0049255914054811,0.022417809814214706,0.0016205572756007314,-0.014030189253389835,-0.02549874223768711,-0.013098624534904957,-0.01831047050654888,-0.03224971145391464,-0.029068894684314728,-0.0038596591912209988,0.00383417634293437,-0.022463155910372734,-0.026412852108478546,0.02526969090104103
15000,0.03604684770107269,1.0,0.38718364820480344,0.8881,0.03405449911952019,-0.006169421132653952,-0.002894856035709381,0.0059765782207250595,0.021256398409605026,-0.0006879810243844986,-0.014728249050676823,-0.0267809871584177,-0.015019222162663937,-0.02294256165623665,-0.03840210288763046,-0.030709004029631615,-0.007591756526380777,0.0029189977794885635,-0.025936273857951164,-0.02513137087225914,0.023093413561582565
