arch,width,seed,noise,params
basenet18,64,0,0.25,11000138
step,train_loss,train_acc,test_loss,test_acc,p_layer0,p_layer1,p_layer2,p_layer3,p_layer4,p_layer5,p_layer6,p_layer7,p_layer8,p_layer9,p_layer10,p_layer11,p_layer12,p_layer13,p_layer14,p_layer15,p_layer16
1,2.382091760635376,0.0625,2.302698978805542,0.1075,-0.01838861033320427,-0.020864002406597137,0.05420195311307907,0.003756063524633646,0.012134927324950695,0.025635967031121254,-0.006099409889429808,-0.021612638607621193,-0.02639644779264927,0.011115046218037605,0.00789029709994793,0.0015584123320877552,0.0026528439484536648,0.0071153221651911736,-0.0003025645564775914,0.00035630702041089535,0.0009360486874356866
1000,1.7500630617141724,0.390625,1.4822488328933716,0.4963,-0.0010706116445362568,0.011405414901673794,0.006225764751434326,0.03137241676449776,0.02272954210639,-0.0057565513998270035,0.003915824927389622,-0.002628725254908204,-0.01028580591082573,0.007428059354424477,0.003145982977002859,0.002941025421023369,-0.00654114643111825,-0.008036036044359207,-0.008970074355602264,-0.011062294244766235,-0.017734019085764885
2000,1.5759156942367554,0.484375,1.2164093275070191,0.5966,-0.01320081390440464,0.011602089740335941,0.01340080238878727,0.04354086518287659,0.020309820771217346,-0.0020614247769117355,0.01495610922574997,0.017156416550278664,0.010810463689267635,0.012994837015867233,0.01932819001376629,0.005560366902500391,-0.001595259178429842,-0.0012636445462703705,-0.020912932232022285,-0.04318460822105408,-0.0502084381878376
3000,1.6755073070526123,0.4609375,1.0962840021133422,0.6556,-0.0021528159268200397,0.02707190439105034,-2.3801781935617328e-05,0.02690405771136284,0.023434041067957878,0.0126078762114048,0.018690157681703568,0.017795469611883163,0.014971819706261158,0.011724762618541718,0.028674786910414696,0.0014013878535479307,0.0053830756805837154,-0.0032994034700095654,-0.033180251717567444,-0.05750323832035065,-0.05689027160406113
4000,1.4325841665267944,0.5859375,0.9655989566802978,0.7277,-0.009000489488244057,0.014926034957170486,0.022815708070993423,0.044581953436136246,0.021082311868667603,0.013102980330586433,0.019658731296658516,0.013008395209908485,0.0032948104199022055,0.008502664044499397,0.014030748046934605,0.005342366639524698,0.0014246293576434255,-0.007845018059015274,-0.021851573139429092,-0.03150126710534096,-0.05557151511311531
5000,1.3611284494400024,0.6328125,0.8751080417633057,0.7628,-0.006609520874917507,0.018719879910349846,-0.00639793835580349,0.03546769917011261,0.024556072428822517,0.01006211806088686,0.015314456075429916,0.024886157363653183,0.005637854337692261,0.009747948497533798,0.026042673736810684,0.0044221896678209305,-6.026111077517271e-05,-0.004853433929383755,-0.036649592220783234,-0.039720188826322556,-0.08179112523794174
6000,1.2331929206848145,0.6484375,0.8266400280952454,0.7792,0.011220088228583336,0.001012868364341557,0.015327254310250282,0.04320337623357773,0.017376113682985306,0.008633187972009182,0.016093743965029716,0.007323338184505701,-0.005322616547346115,-0.001350852777250111,0.009113644249737263,0.003157202620059252,0.005005037412047386,0.006135660223662853,-0.01771063543856144,-0.016286291182041168,-0.07785603404045105
7000,1.3156007528305054,0.65625,0.7659327830314636,0.7992,-0.013694044202566147,0.008197865448892117,0.012291780672967434,0.04570607841014862,0.025755666196346283,0.004951949696987867,0.011223475448787212,0.0014854141045361757,-0.01476828008890152,-0.0029769903048872948,-0.00236010761000216,-0.006376806180924177,-0.00763721065595746,-0.004394611809402704,-0.03432387113571167,-0.035223983228206635,-0.07697199285030365
8000,1.3261305093765259,0.625,0.791014099407196,0.8002,0.003885239362716675,0.011027929373085499,0.0071549806743860245,0.03531983122229576,0.02183626964688301,0.015759354457259178,0.004958150442689657,-0.006696165539324284,-0.011464632116258144,-0.013320407830178738,-0.007447115145623684,-0.0040810322389006615,-0.001759872306138277,0.004160227254033089,-0.04243919253349304,-0.0412670373916626,-0.09608131647109985
9000,1.266221523284912,0.65625,0.7624902119636535,0.7937,0.018265698105096817,-0.0016969791613519192,0.011408800259232521,0.03382396325469017,0.0179299246519804,0.011865416541695595,0.008742308244109154,-0.0007103815441951156,-0.009269259870052338,-0.005420210305601358,0.0002977275289595127,-0.009620408527553082,-0.002810751786455512,-0.0010322447633370757,-0.04232294484972954,-0.04793635755777359,-0.0836724191904068
