Trajectory,Label,Classes,Noise,Center_of_Mass_C,Total_Volume_V
Baseline,CIFAR-10 (Baseline),10,0.0,8.624702324977362,4.8638953268527985
Semantic Density,CIFAR-100 (30 Classes),30,0.0,8.800862703038721,4.767926424741745
Semantic Density,CIFAR-100 (50 Classes),50,0.0,8.926101915897537,4.865123778581619
Semantic Density,CIFAR-100 (70 Classes),70,0.0,9.078367073913133,4.760438770055771
Semantic Density,CIFAR-100 (90 Classes),90,0.0,9.246904609123717,4.725974440574646
Unstructured Noise,CIFAR-10 (5% Noise),10,0.05,8.884434932915806,5.075043082237244
Unstructured Noise,CIFAR-10 (10% Noise),10,0.1,8.633084631300221,4.697596102952957
Unstructured Noise,CIFAR-10 (15% Noise),10,0.15,8.585721593452387,4.714558929204941
Unstructured Noise,CIFAR-10 (20% Noise),10,0.2,8.611458863914002,4.6820001900196075
Unstructured Noise,CIFAR-10 (25% Noise),10,0.25,8.628194823638927,4.660435676574707
